rho,betak1,etai1,Li1,gammai1,etai2,Li2,gammai2,etai3,Li3,gammai3,etai4,Li4,gammai4,etai5,Li5,gammai5,etai6,Li6,gammai6,etai7,Li7,gammai7,etai8,Li8,gammai8,etai9,Li9,gammai9,etai10,Li10,gammai10,beta,eta,L,gamma
2.580000e+00,6.124033e-01,1.000000e+00,5.974684e+00,1.673729e-01,1.000000e+00,5.974684e+00,1.673729e-01,1.000000e+00,5.974684e+00,1.673729e-01,1.000000e+00,5.974684e+00,1.673729e-01,1.000000e+00,5.974684e+00,1.673729e-01,9.999995e-01,5.898735e+00,6.781112e-01,9.999995e-01,5.898735e+00,6.781112e-01,9.999995e-01,5.898735e+00,6.781112e-01,9.999995e-01,5.898735e+00,6.781112e-01,9.999995e-01,5.898735e+00,6.781112e-01,6.124033e-01,9.999996e-01,5.936709e+01,4.211085e-01
2.590000e+00,6.138998e-01,1.000000e+00,5.974843e+00,1.673684e-01,1.000000e+00,5.974843e+00,1.673684e-01,1.000000e+00,5.974843e+00,1.673684e-01,1.000000e+00,5.974843e+00,1.673684e-01,1.000000e+00,5.974843e+00,1.673684e-01,9.999995e-01,5.899372e+00,6.780380e-01,9.999995e-01,5.899372e+00,6.780380e-01,9.999995e-01,5.899372e+00,6.780380e-01,9.999995e-01,5.899372e+00,6.780380e-01,9.999995e-01,5.899372e+00,6.780380e-01,6.138998e-01,9.999996e-01,5.937107e+01,4.210803e-01
2.600000e+00,6.153848e-01,1.000000e+00,5.975000e+00,1.673640e-01,1.000000e+00,5.975000e+00,1.673640e-01,1.000000e+00,5.975000e+00,1.673640e-01,1.000000e+00,5.975000e+00,1.673640e-01,1.000000e+00,5.975000e+00,1.673640e-01,9.999995e-01,5.900000e+00,6.779657e-01,9.999995e-01,5.900000e+00,6.779657e-01,9.999995e-01,5.900000e+00,6.779657e-01,9.999995e-01,5.900000e+00,6.779657e-01,9.999995e-01,5.900000e+00,6.779657e-01,6.153848e-01,9.999996e-01,5.937500e+01,4.210524e-01
2.610000e+00,6.168584e-01,1.000000e+00,5.975155e+00,1.673597e-01,1.000000e+00,5.975155e+00,1.673597e-01,1.000000e+00,5.975155e+00,1.673597e-01,1.000000e+00,5.975155e+00,1.673597e-01,1.000000e+00,5.975155e+00,1.673597e-01,9.999995e-01,5.900622e+00,6.778943e-01,9.999995e-01,5.900622e+00,6.778943e-01,9.999995e-01,5.900622e+00,6.778943e-01,9.999995e-01,5.900622e+00,6.778943e-01,9.999995e-01,5.900622e+00,6.778943e-01,6.168584e-01,9.999996e-01,5.937888e+01,4.210249e-01
2.620000e+00,6.183208e-01,1.000000e+00,5.975309e+00,1.673554e-01,1.000000e+00,5.975309e+00,1.673554e-01,1.000000e+00,5.975309e+00,1.673554e-01,1.000000e+00,5.975309e+00,1.673554e-01,1.000000e+00,5.975309e+00,1.673554e-01,9.999995e-01,5.901235e+00,6.778239e-01,9.999995e-01,5.901235e+00,6.778239e-01,9.999995e-01,5.901235e+00,6.778239e-01,9.999995e-01,5.901235e+00,6.778239e-01,9.999995e-01,5.901235e+00,6.778239e-01,6.183208e-01,9.999996e-01,5.938272e+01,4.209977e-01
2.630000e+00,6.197720e-01,1.000000e+00,5.975460e+00,1.673511e-01,1.000000e+00,5.975460e+00,1.673511e-01,1.000000e+00,5.975460e+00,1.673511e-01,1.000000e+00,5.975460e+00,1.673511e-01,1.000000e+00,5.975460e+00,1.673511e-01,9.999995e-01,5.901841e+00,6.777543e-01,9.999995e-01,5.901841e+00,6.777543e-01,9.999995e-01,5.901841e+00,6.777543e-01,9.999995e-01,5.901841e+00,6.777543e-01,9.999995e-01,5.901841e+00,6.777543e-01,6.197720e-01,9.999996e-01,5.938651e+01,4.209709e-01
2.640000e+00,6.212123e-01,1.000000e+00,5.975610e+00,1.673469e-01,1.000000e+00,5.975610e+00,1.673469e-01,1.000000e+00,5.975610e+00,1.673469e-01,1.000000e+00,5.975610e+00,1.673469e-01,1.000000e+00,5.975610e+00,1.673469e-01,9.999996e-01,5.902439e+00,6.776856e-01,9.999996e-01,5.902439e+00,6.776856e-01,9.999996e-01,5.902439e+00,6.776856e-01,9.999996e-01,5.902439e+00,6.776856e-01,9.999996e-01,5.902439e+00,6.776856e-01,6.212123e-01,9.999996e-01,5.939025e+01,4.209444e-01
2.650000e+00,6.226416e-01,1.000000e+00,5.975758e+00,1.673428e-01,1.000000e+00,5.975758e+00,1.673428e-01,1.000000e+00,5.975758e+00,1.673428e-01,1.000000e+00,5.975758e+00,1.673428e-01,1.000000e+00,5.975758e+00,1.673428e-01,9.999996e-01,5.903031e+00,6.776177e-01,9.999996e-01,5.903031e+00,6.776177e-01,9.999996e-01,5.903031e+00,6.776177e-01,9.999996e-01,5.903031e+00,6.776177e-01,9.999996e-01,5.903031e+00,6.776177e-01,6.226416e-01,9.999997e-01,5.939394e+01,4.209182e-01
2.660000e+00,6.240603e-01,1.000000e+00,5.975904e+00,1.673387e-01,1.000000e+00,5.975904e+00,1.673387e-01,1.000000e+00,5.975904e+00,1.673387e-01,1.000000e+00,5.975904e+00,1.673387e-01,1.000000e+00,5.975904e+00,1.673387e-01,9.999996e-01,5.903615e+00,6.775507e-01,9.999996e-01,5.903615e+00,6.775507e-01,9.999996e-01,5.903615e+00,6.775507e-01,9.999996e-01,5.903615e+00,6.775507e-01,9.999996e-01,5.903615e+00,6.775507e-01,6.240603e-01,9.999997e-01,5.939759e+01,4.208923e-01
2.670000e+00,6.254683e-01,1.000000e+00,5.976048e+00,1.673347e-01,1.000000e+00,5.976048e+00,1.673347e-01,1.000000e+00,5.976048e+00,1.673347e-01,1.000000e+00,5.976048e+00,1.673347e-01,1.000000e+00,5.976048e+00,1.673347e-01,9.999996e-01,5.904192e+00,6.774845e-01,9.999996e-01,5.904192e+00,6.774845e-01,9.999996e-01,5.904192e+00,6.774845e-01,9.999996e-01,5.904192e+00,6.774845e-01,9.999996e-01,5.904192e+00,6.774845e-01,6.254683e-01,9.999997e-01,5.940120e+01,4.208668e-01
