rho,betai1,etai1,Li1,gammai1,betai2,etai2,Li2,gammai2,betai3,etai3,Li3,gammai3,betai4,etai4,Li4,gammai4,betai5,etai5,Li5,gammai5,betai6,etai6,Li6,gammai6,betai7,etai7,Li7,gammai7,betai8,etai8,Li8,gammai8,betai9,etai9,Li9,gammai9,betai10,etai10,Li10,gammai10,beta,eta,L,gamma
5.0,0.8000102401310736,0.9999487993446321,5.750089601146895,0.1739014291438494,0.8000102401310736,0.9999487993446321,5.750089601146895,0.1739014291438494,0.8000102401310736,0.9999487993446321,5.750089601146895,0.1739014291438494,0.8000102401310736,0.9999487993446321,5.750089601146895,0.1739014291438494,0.8000102401310736,0.9999487993446321,5.750089601146895,0.1739014291438494,0.8000102401310736,0.9999487993446321,5.750089601146895,0.6956057165753976,0.8000102401310736,0.9999487993446321,5.750089601146895,0.6956057165753976,0.8000102401310736,0.9999487993446321,5.750089601146895,0.6956057165753976,0.8000102401310736,0.9999487993446321,5.750089601146895,0.6956057165753976,0.8000102401310736,0.9999487993446321,5.750089601146895,0.6956057165753976,0.8000102401310737,0.9999487993446315,57.50089601146895,0.43475357285962324
4.987525,0.7995101661403475,0.9999480586208631,5.749309055028862,0.17392490976741262,0.7995101661403475,0.9999480586208631,5.749309055028862,0.17392490976741262,0.7995101661403475,0.9999480586208631,5.749309055028862,0.17392490976741262,0.7995101661403475,0.9999480586208631,5.749309055028862,0.17392490976741262,0.7995101661403475,0.9999480586208631,5.749309055028862,0.17392490976741262,0.7995101661403475,0.9999480586208631,5.749309055028862,0.6956996390696505,0.7995101661403475,0.9999480586208631,5.749309055028862,0.6956996390696505,0.7995101661403475,0.9999480586208631,5.749309055028862,0.6956996390696505,0.7995101661403475,0.9999480586208631,5.749309055028862,0.6956996390696505,0.7995101661403475,0.9999480586208631,5.749309055028862,0.6956996390696505,0.7995101661403476,0.9999480586208626,57.49309055028861,0.4348122744185314
4.97505,0.7990075867802641,0.9999473053888474,5.748523631722389,0.17394854217364333,0.7990075867802641,0.9999473053888474,5.748523631722389,0.17394854217364333,0.7990075867802641,0.9999473053888474,5.748523631722389,0.17394854217364333,0.7990075867802641,0.9999473053888474,5.748523631722389,0.17394854217364333,0.7990075867802641,0.9999473053888474,5.748523631722389,0.17394854217364333,0.7990075867802641,0.9999473053888474,5.748523631722389,0.6957941686945733,0.7990075867802641,0.9999473053888474,5.748523631722389,0.6957941686945733,0.7990075867802641,0.9999473053888474,5.748523631722389,0.6957941686945733,0.7990075867802641,0.9999473053888474,5.748523631722389,0.6957941686945733,0.7990075867802641,0.9999473053888474,5.748523631722389,0.6957941686945733,0.7990075867802642,0.9999473053888468,57.485236317223894,0.4348713554341081
4.962575,0.7985024832053698,0.9999465394071122,5.747733285590865,0.17397232782424035,0.7985024832053698,0.9999465394071122,5.747733285590865,0.17397232782424035,0.7985024832053698,0.9999465394071122,5.747733285590865,0.17397232782424035,0.7985024832053698,0.9999465394071122,5.747733285590865,0.17397232782424035,0.7985024832053698,0.9999465394071122,5.747733285590865,0.17397232782424035,0.7985024832053698,0.9999465394071122,5.747733285590865,0.6958893112969614,0.7985024832053698,0.9999465394071122,5.747733285590865,0.6958893112969614,0.7985024832053698,0.9999465394071122,5.747733285590865,0.6958893112969614,0.7985024832053698,0.9999465394071122,5.747733285590865,0.6958893112969614,0.7985024832053698,0.9999465394071122,5.747733285590865,0.6958893112969614,0.7985024832053698,0.9999465394071122,57.47733285590866,0.4349308195606008
4.9501,0.7979948363812965,0.999945760428944,5.746937970430467,0.17399626819950598,0.7979948363812965,0.999945760428944,5.746937970430467,0.17399626819950598,0.7979948363812965,0.999945760428944,5.746937970430467,0.17399626819950598,0.7979948363812965,0.999945760428944,5.746937970430467,0.17399626819950598,0.7979948363812965,0.999945760428944,5.746937970430467,0.17399626819950598,0.7979948363812965,0.999945760428944,5.746937970430467,0.6959850727980239,0.7979948363812965,0.999945760428944,5.746937970430467,0.6959850727980239,0.7979948363812965,0.999945760428944,5.746937970430467,0.6959850727980239,0.7979948363812965,0.999945760428944,5.746937970430467,0.6959850727980239,0.7979948363812965,0.999945760428944,5.746937970430467,0.6959850727980239,0.7979948363812965,0.999945760428944,57.469379704304664,0.43499067049876494
4.937625,0.7974846270824005,0.999944968202262,5.746137639461396,0.1740203647986389,0.7974846270824005,0.999944968202262,5.746137639461396,0.1740203647986389,0.7974846270824005,0.999944968202262,5.746137639461396,0.1740203647986389,0.7974846270824005,0.999944968202262,5.746137639461396,0.1740203647986389,0.7974846270824005,0.999944968202262,5.746137639461396,0.1740203647986389,0.7974846270824005,0.999944968202262,5.746137639461396,0.6960814591945556,0.7974846270824005,0.999944968202262,5.746137639461396,0.6960814591945556,0.7974846270824005,0.999944968202262,5.746137639461396,0.6960814591945556,0.7974846270824005,0.999944968202262,5.746137639461396,0.6960814591945556,0.7974846270824005,0.999944968202262,5.746137639461396,0.6960814591945556,0.7974846270824008,0.9999449682022609,57.46137639461396,0.43505091199659685
4.92515,0.7969718358893696,0.9999441624694714,5.745332245318956,0.17404461914003005,0.7969718358893696,0.9999441624694714,5.745332245318956,0.17404461914003005,0.7969718358893696,0.9999441624694714,5.745332245318956,0.17404461914003005,0.7969718358893696,0.9999441624694714,5.745332245318956,0.17404461914003005,0.7969718358893696,0.9999441624694714,5.745332245318956,0.17404461914003005,0.7969718358893696,0.9999441624694714,5.745332245318956,0.6961784765601202,0.7969718358893696,0.9999441624694714,5.745332245318956,0.6961784765601202,0.7969718358893696,0.9999441624694714,5.745332245318956,0.6961784765601202,0.7969718358893696,0.9999441624694714,5.745332245318956,0.6961784765601202,0.7969718358893696,0.9999441624694714,5.745332245318956,0.6961784765601202,0.7969718358893696,0.9999441624694714,57.45332245318956,0.43511154785007516
4.912675,0.7964564431867858,0.9999433429673572,5.744521740044472,0.17406903276157087,0.7964564431867858,0.9999433429673572,5.744521740044472,0.17406903276157087,0.7964564431867858,0.9999433429673572,5.744521740044472,0.17406903276157087,0.7964564431867858,0.9999433429673572,5.744521740044472,0.17406903276157087,0.7964564431867858,0.9999433429673572,5.744521740044472,0.17406903276157087,0.7964564431867858,0.9999433429673572,5.744521740044472,0.6962761310462835,0.7964564431867858,0.9999433429673572,5.744521740044472,0.6962761310462835,0.7964564431867858,0.9999433429673572,5.744521740044472,0.6962761310462835,0.7964564431867858,0.9999433429673572,5.744521740044472,0.6962761310462835,0.7964564431867858,0.9999433429673572,5.744521740044472,0.6962761310462835,0.7964564431867858,0.9999433429673572,57.44521740044471,0.43517258190392727
4.9002,0.7959384291606623,0.9999425094269228,5.743706075076031,0.174093607220959,0.7959384291606623,0.9999425094269228,5.743706075076031,0.174093607220959,0.7959384291606623,0.9999425094269228,5.743706075076031,0.174093607220959,0.7959384291606623,0.9999425094269228,5.743706075076031,0.174093607220959,0.7959384291606623,0.9999425094269228,5.743706075076031,0.174093607220959,0.7959384291606623,0.9999425094269228,5.743706075076031,0.696374428883836,0.7959384291606623,0.9999425094269228,5.743706075076031,0.696374428883836,0.7959384291606623,0.9999425094269228,5.743706075076031,0.696374428883836,0.7959384291606623,0.9999425094269228,5.743706075076031,0.696374428883836,0.7959384291606623,0.9999425094269228,5.743706075076031,0.696374428883836,0.7959384291606622,0.9999425094269233,57.43706075076032,0.43523401805239775
4.887725,0.7954177737959346,0.9999416615732656,5.742885201239065,0.1741183440960167,0.7954177737959346,0.9999416615732656,5.742885201239065,0.1741183440960167,0.7954177737959346,0.9999416615732656,5.742885201239065,0.1741183440960167,0.7954177737959346,0.9999416615732656,5.742885201239065,0.1741183440960167,0.7954177737959346,0.9999416615732656,5.742885201239065,0.1741183440960167,0.7954177737959346,0.9999416615732656,5.742885201239065,0.6964733763840668,0.7954177737959346,0.9999416615732656,5.742885201239065,0.6964733763840668,0.7954177737959346,0.9999416615732656,5.742885201239065,0.6964733763840668,0.7954177737959346,0.9999416615732656,5.742885201239065,0.6964733763840668,0.7954177737959346,0.9999416615732656,5.742885201239065,0.6964733763840668,0.7954177737959346,0.9999416615732656,57.42885201239064,0.4352958602400418
