rho,betai1,etai1,Li1,gammai1,betai2,etai2,Li2,gammai2,betai3,etai3,Li3,gammai3,betai4,etai4,Li4,gammai4,betai5,etai5,Li5,gammai5,betai6,etai6,Li6,gammai6,betai7,etai7,Li7,gammai7,betai8,etai8,Li8,gammai8,betai9,etai9,Li9,gammai9,betai10,etai10,Li10,gammai10,beta,eta,L,gamma
3.5279499999999997,0.8866199218796417,0.9999981165117954,5.872122404056002,0.17029585688150423,0.8866199218796417,0.9999981165117954,5.872122404056002,0.17029585688150423,0.8866199218796417,0.9999981165117954,5.872122404056002,0.17029585688150423,0.8866199218796417,0.9999981165117954,5.872122404056002,0.17029585688150423,0.8866199218796417,0.9999981165117954,5.872122404056002,0.17029585688150423,0.548643911043014,0.9952260712723742,5.19783604437325,0.7658772325839127,0.548643911043014,0.9952260712723742,5.19783604437325,0.7658772325839127,0.548643911043014,0.9952260712723742,5.19783604437325,0.7658772325839127,0.548643911043014,0.9952260712723742,5.19783604437325,0.7658772325839127,0.548643911043014,0.9952260712723742,5.19783604437325,0.7658772325839127,0.7176319164613278,0.9961804803202583,55.34979224214625,0.4499477052967662
3.515475,0.8862175863091082,0.9999980769249698,5.871610391548668,0.17031070017253225,0.8862175863091082,0.9999980769249698,5.871610391548668,0.17031070017253225,0.8862175863091082,0.9999980769249698,5.871610391548668,0.17031070017253225,0.8862175863091082,0.9999980769249698,5.871610391548668,0.17031070017253225,0.8862175863091082,0.9999980769249698,5.871610391548668,0.17031070017253225,0.5470825885183837,0.9951373982052095,5.193130236678448,0.7665029397311662,0.5470825885183837,0.9951373982052095,5.193130236678448,0.7665029397311662,0.5470825885183837,0.9951373982052095,5.193130236678448,0.7665029397311662,0.5470825885183837,0.9951373982052095,5.193130236678448,0.7665029397311662,0.5470825885183837,0.9951373982052095,5.193130236678448,0.7665029397311662,0.716650087413746,0.9961095339491611,55.32370314113558,0.45012782830534637
3.503,0.885812385228146,0.9999980363645116,5.871094263029122,0.1703256652957526,0.885812385228146,0.9999980363645116,5.871094263029122,0.1703256652957526,0.885812385228146,0.9999980363645116,5.871094263029122,0.1703256652957526,0.885812385228146,0.9999980363645116,5.871094263029122,0.1703256652957526,0.885812385228146,0.9999980363645116,5.871094263029122,0.1703256652957526,0.5455110077824228,0.9950468373363581,5.1883738422663095,0.7671358060056184,0.5455110077824228,0.9950468373363581,5.1883738422663095,0.7671358060056184,0.5455110077824228,0.9950468373363581,5.1883738422663095,0.7671358060056184,0.5455110077824228,0.9950468373363581,5.1883738422663095,0.7671358060056184,0.5455110077824228,0.9950468373363581,5.1883738422663095,0.7671358060056184,0.7156616965052846,0.9960370771419883,55.29734052647716,0.45030966573567466
3.490525,0.8854042879162332,0.9999979948029755,5.870573968679001,0.17034075375563246,0.8854042879162332,0.9999979948029755,5.870573968679001,0.17034075375563246,0.8854042879162332,0.9999979948029755,5.870573968679001,0.17034075375563246,0.8854042879162332,0.9999979948029755,5.870573968679001,0.17034075375563246,0.8854042879162332,0.9999979948029755,5.870573968679001,0.17034075375563246,0.5439290794186226,0.9949543437889452,5.1835661255808905,0.7677759439617041,0.5439290794186226,0.9949543437889452,5.1835661255808905,0.7677759439617041,0.5439290794186226,0.9949543437889452,5.1835661255808905,0.7677759439617041,0.5439290794186226,0.9949543437889452,5.1835661255808905,0.7677759439617041,0.5439290794186226,0.9949543437889452,5.1835661255808905,0.7677759439617041,0.7146666836674279,0.9959630739917511,55.270700471299456,0.4504932385056922
3.47805,0.8849932632121981,0.9999979522120364,5.870049457873102,0.1703559670814709,0.8849932632121981,0.9999979522120364,5.870049457873102,0.1703559670814709,0.8849932632121981,0.9999979522120364,5.870049457873102,0.1703559670814709,0.8849932632121981,0.9999979522120364,5.870049457873102,0.1703559670814709,0.8849932632121981,0.9999979522120364,5.870049457873102,0.1703559670814709,0.5423367132628595,0.9948598715225698,5.178706338461285,0.7684234683352724,0.5423367132628595,0.9948598715225698,5.178706338461285,0.7684234683352724,0.5423367132628595,0.9948598715225698,5.178706338461285,0.7684234683352724,0.5423367132628595,0.9948598715225698,5.178706338461285,0.7684234683352724,0.5423367132628595,0.9948598715225698,5.178706338461285,0.7684234683352724,0.713664988237529,0.9958874876604623,55.24377898167192,0.450678567803474
3.4655750000000003,0.8845792795062909,0.999997908562465,5.869520679162995,0.17037130682791404,0.8845792795062909,0.999997908562465,5.869520679162995,0.17037130682791404,0.8845792795062909,0.999997908562465,5.869520679162995,0.17037130682791404,0.8845792795062909,0.999997908562465,5.869520679162995,0.17037130682791404,0.8845792795062909,0.999997908562465,5.869520679162995,0.17037130682791404,0.5407338184047662,0.9947633733011891,5.173793719912993,0.7690784960927417,0.5407338184047662,0.9947633733011891,5.173793719912993,0.7690784960927417,0.5407338184047662,0.9947633733011891,5.173793719912993,0.7690784960927417,0.5407338184047662,0.9947633733011891,5.173793719912993,0.7690784960927417,0.5407338184047662,0.9947633733011891,5.173793719912993,0.7690784960927417,0.7126565489555285,0.9958102803534442,55.21657199537994,0.4508656750897019
3.4531,0.8841623047320837,0.9999978638241046,5.868987580260231,0.17038677457548218,0.8841623047320837,0.9999978638241046,5.868987580260231,0.17038677457548218,0.8841623047320837,0.9999978638241046,5.868987580260231,0.17038677457548218,0.8841623047320837,0.9999978638241046,5.868987580260231,0.17038677457548218,0.8841623047320837,0.9999978638241046,5.868987580260231,0.17038677457548218,0.5391203031895591,0.9946648006600834,5.168827495875596,0.7697411464814907,0.5391203031895591,0.9946648006600834,5.168827495875596,0.7697411464814907,0.5391203031895591,0.9946648006600834,5.168827495875596,0.7697411464814907,0.5391203031895591,0.9946648006600834,5.168827495875596,0.7697411464814907,0.5391203031895591,0.9946648006600834,5.168827495875596,0.7697411464814907,0.7116413039608213,0.9957314132928882,55.189075380679135,0.4510545821000829
3.440625,0.8837423063581976,0.9999978179658158,5.868450108019146,0.1704023719311057,0.8837423063581976,0.9999978179658158,5.868450108019146,0.1704023719311057,0.8837423063581976,0.9999978179658158,5.868450108019146,0.1704023719311057,0.8837423063581976,0.9999978179658158,5.868450108019146,0.1704023719311057,0.8837423063581976,0.9999978179658158,5.868450108019146,0.1704023719311057,0.5374960752203424,0.994564103871881,5.163806878986722,0.7704115410815218,0.5374960752203424,0.994564103871881,5.163806878986722,0.7704115410815218,0.5374960752203424,0.994564103871881,5.163806878986722,0.7704115410815218,0.5374960752203424,0.994564103871881,5.163806878986722,0.7704115410815218,0.5374960752203424,0.994564103871881,5.163806878986722,0.7704115410815218,0.7106191907892702,0.9956508466906673,55.16128493502933,0.4512453108477149
3.42815,0.8833192513798445,0.9999977709554656,5.867908208419231,0.17041810052868178,0.8833192513798445,0.9999977709554656,5.867908208419231,0.17041810052868178,0.8833192513798445,0.9999977709554656,5.867908208419231,0.17041810052868178,0.8833192513798445,0.9999977709554656,5.867908208419231,0.17041810052868178,0.8833192513798445,0.9999977709554656,5.867908208419231,0.17041810052868178,0.5358610413609146,0.9944612319116128,5.158731068342279,0.7710898038584328,0.5358610413609146,0.9944612319116128,5.158731068342279,0.7710898038584328,0.5358610413609146,0.9944612319116128,5.158731068342279,0.7710898038584328,0.5358610413609146,0.9944612319116128,5.158731068342279,0.7710898038584328,0.5358610413609146,0.9944612319116128,5.158731068342279,0.7710898038584328,0.7095901463703794,0.9955685397203837,55.133196383807544,0.45143788362539927
3.4156750000000002,0.8828931063101876,0.9999977227598752,5.867361826547075,0.1704339620296386,0.8828931063101876,0.9999977227598752,5.867361826547075,0.1704339620296386,0.8828931063101876,0.9999977227598752,5.867361826547075,0.1704339620296386,0.8828931063101876,0.9999977227598752,5.867361826547075,0.1704339620296386,0.8828931063101876,0.9999977227598752,5.867361826547075,0.1704339620296386,0.5342151077391037,0.994356132420773,5.153599249252947,0.7717760612177305,0.5342151077391037,0.994356132420773,5.153599249252947,0.7717760612177305,0.5342151077391037,0.994356132420773,5.153599249252947,0.7717760612177305,0.5342151077391037,0.994356132420773,5.153599249252947,0.7717760612177305,0.5342151077391037,0.994356132420773,5.153599249252947,0.7717760612177305,0.7085541070246455,0.995484450488594,55.10480537900011,0.4516323230078783
