rho,1beta,1eta,1L,1gamma,2beta,2eta,2L,2gamma,3beta,3eta,3L,3gamma,6beta,6eta,6L,6gamma,10beta,10eta,10L,10gamma
5.0,0.8062482800235317,0.9687585998823417,9.768499096421763,2.4792923414335,0.8002310766504381,0.9988446167478093,19.751040093478103,1.2642936929149786,0.8000087895996985,0.9999560520015077,29.750052816924736,0.8402977115326624,0.8000000004980568,0.9999999975097162,59.75000000523798,0.4184100407623646,0.8000000000000012,0.9999999999999942,99.75000000000003,0.2506265664160386
4.987525,0.8057814805344997,0.9686697212971692,9.767835435614765,2.479233315513478,0.7997327718520603,0.9988378070685531,19.75026788575894,1.2643345052914088,0.7995086421367018,0.9999556596271463,29.749271355336983,0.8403194549567979,0.7994997523892632,0.9999999974647401,59.74921787859415,0.418415517796678,0.799499751880944,0.9999999999999947,99.7492178732422,0.25062853156171094
4.97505,0.805312441003834,0.9685803403838755,9.767167995156747,2.479173955193988,0.7992319801568303,0.9988309371207617,19.749490894915397,1.2643755507868757,0.7990059873629918,0.9999552625697479,29.74848499509766,0.8403413339658586,0.7989969955239017,0.999999997418813,59.74843084281675,0.4184210293528729,0.7989969950050766,0.9999999999999938,99.748430837348,0.2506305090730239
4.962575,0.8048411453912063,0.9684904529102343,9.766496742958594,2.47911425764948,0.7987286829533724,0.998824006192668,19.748709076582152,1.264416831398191,0.7985008063839295,0.9999548607592711,29.747693690040425,0.8403633498267274,0.7984917109823201,0.9999999973719129,59.747638851540984,0.4184265757583663,0.7984917104527399,0.9999999999999942,99.74763884595245,0.2506324990670624
4.9501,0.8043675775041419,0.9684000545967472,9.765821646570055,2.4790542200227157,0.7982228614448204,0.9988170135619947,19.74792238584627,1.2644583491449548,0.7979930801146621,0.9999544541244112,29.74689739341765,0.8403855038220555,0.7979838796541452,0.9999999973240159,59.74684185781631,0.4184321573447284,0.7979838791135546,0.9999999999999932,99.74684185210504,0.2506345016623926
4.937625,0.8038917209962275,0.9683091411160021,9.765142673174651,2.478993839424377,0.7977144966465126,0.998809958495763,19.7471307772387,1.2645001060698775,0.797482789277724,0.999954042592578,29.746096057891243,0.8404077972505097,0.7974734822358734,0.9999999972750954,59.746039814097244,0.4184377744477478,0.7974734816840091,0.9999999999999944,99.74603980826004,0.25063651697908906
4.92515,0.8034135593653002,0.9682177080919916,9.764459789584567,2.4789331129325713,0.7972035693836516,0.9988028402501086,19.746334204725724,1.264542104239117,0.7969699144006022,0.9999536260898744,29.745289635523218,0.8404302314270314,0.7969604992284232,0.9999999972251318,59.745232672233705,0.41844342740750456,0.7969604986650166,0.9999999999999934,99.74523266626757,0.25063854513875417
4.912675,0.8029330759516062,0.9681257510994429,9.763772962235418,2.478872037592398,0.7966900602889305,0.9987956580700783,19.74553262170021,1.2645843457426016,0.7964544358132692,0.9999532045410475,29.74447807776635,0.8404528076830678,0.796444910934655,0.9999999971740939,59.74442038346178,0.41844911656842776,0.7964449103594288,0.9999999999999933,99.74442037736335,0.25064058626454755
4.9002,0.8024502539359365,0.968033265663124,9.76308215718094,2.4788106104154735,0.7961739498001227,0.9987884111894388,19.74472598097268,1.2646268326943826,0.7959363336456702,0.999952777869487,29.743661335454302,0.8404755273668578,0.7959266974568472,0.9999999971219574,59.74360289839352,0.41845484227937607,0.7959266968695168,0.9999999999999939,99.74360289215939,0.25064264048120766
4.887725,0.8019650763377345,0.9679402472571466,9.762387340087582,2.4787488283794703,0.7956552181576347,0.9987810988304747,19.743914234762247,1.264669567232981,0.7954155878251787,0.9999523459971782,29.74283935879183,0.8404983918436804,0.7954058386941377,0.9999999970686956,59.742780167007034,0.4184606048937048,0.7954058380944113,0.9999999999999932,99.7427801606338,0.25064470791507737
