rho,betak1,betak2,etai1,Li1,gammai1,etai2,Li2,gammai2,etai3,Li3,gammai3,etai4,Li4,gammai4,etai5,Li5,gammai5,etai6,Li6,gammai6,etai7,Li7,gammai7,etai8,Li8,gammai8,etai9,Li9,gammai9,etai10,Li10,gammai10,beta,eta,L,gamma
1.830000e+00,1.298822e-01,5.375070e-01,9.851796e-01,4.743276e+00,2.077003e-01,9.851796e-01,4.743276e+00,2.077003e-01,9.851796e-01,4.743276e+00,2.077003e-01,9.999987e-01,5.880221e+00,1.700614e-01,9.999987e-01,5.880221e+00,1.700614e-01,9.999987e-01,5.880221e+00,1.700614e-01,9.999987e-01,5.880221e+00,1.700614e-01,9.999985e-01,5.875301e+00,1.702038e-01,9.999985e-01,5.875301e+00,1.702038e-01,9.999985e-01,5.875301e+00,1.702038e-01,4.559820e-01,9.955529e-01,5.537661e+01,1.797786e-01
1.840000e+00,1.329819e-01,5.402883e-01,9.858642e-01,4.765799e+00,2.068623e-01,9.858642e-01,4.765799e+00,2.068623e-01,9.858642e-01,4.765799e+00,2.068623e-01,9.999987e-01,5.881608e+00,1.700213e-01,9.999987e-01,5.881608e+00,1.700213e-01,9.999987e-01,5.881608e+00,1.700213e-01,9.999987e-01,5.881608e+00,1.700213e-01,9.999986e-01,5.876637e+00,1.701651e-01,9.999986e-01,5.876637e+00,1.701651e-01,9.999986e-01,5.876637e+00,1.701651e-01,4.588270e-01,9.957583e-01,5.545374e+01,1.795656e-01
1.850000e+00,1.360833e-01,5.430374e-01,9.865160e-01,4.787747e+00,2.060502e-01,9.865160e-01,4.787747e+00,2.060502e-01,9.865160e-01,4.787747e+00,2.060502e-01,9.999988e-01,5.882965e+00,1.699821e-01,9.999988e-01,5.882965e+00,1.699821e-01,9.999988e-01,5.882965e+00,1.699821e-01,9.999988e-01,5.882965e+00,1.699821e-01,9.999987e-01,5.877945e+00,1.701273e-01,9.999987e-01,5.877945e+00,1.701273e-01,9.999987e-01,5.877945e+00,1.701273e-01,4.616465e-01,9.959539e-01,5.552893e+01,1.793577e-01
1.860000e+00,1.391852e-01,5.457547e-01,9.871363e-01,4.809132e+00,2.052629e-01,9.871363e-01,4.809132e+00,2.052629e-01,9.871363e-01,4.809132e+00,2.052629e-01,9.999989e-01,5.884292e+00,1.699438e-01,9.999989e-01,5.884292e+00,1.699438e-01,9.999989e-01,5.884292e+00,1.699438e-01,9.999989e-01,5.884292e+00,1.699438e-01,9.999987e-01,5.879224e+00,1.700903e-01,9.999987e-01,5.879224e+00,1.700903e-01,9.999987e-01,5.879224e+00,1.700903e-01,4.644408e-01,9.961401e-01,5.560224e+01,1.791547e-01
1.870000e+00,1.422867e-01,5.484408e-01,9.877269e-01,4.829969e+00,2.044996e-01,9.877269e-01,4.829969e+00,2.044996e-01,9.877269e-01,4.829969e+00,2.044996e-01,9.999990e-01,5.885591e+00,1.699063e-01,9.999990e-01,5.885591e+00,1.699063e-01,9.999990e-01,5.885591e+00,1.699063e-01,9.999990e-01,5.885591e+00,1.699063e-01,9.999988e-01,5.880476e+00,1.700540e-01,9.999988e-01,5.880476e+00,1.700540e-01,9.999988e-01,5.880476e+00,1.700540e-01,4.672100e-01,9.963173e-01,5.567370e+01,1.789565e-01
1.880000e+00,1.453869e-01,5.510961e-01,9.882889e-01,4.850271e+00,2.037595e-01,9.882889e-01,4.850271e+00,2.037595e-01,9.882889e-01,4.850271e+00,2.037595e-01,9.999990e-01,5.886861e+00,1.698696e-01,9.999990e-01,5.886861e+00,1.698696e-01,9.999990e-01,5.886861e+00,1.698696e-01,9.999990e-01,5.886861e+00,1.698696e-01,9.999989e-01,5.881702e+00,1.700186e-01,9.999989e-01,5.881702e+00,1.700186e-01,9.999989e-01,5.881702e+00,1.700186e-01,4.699543e-01,9.964859e-01,5.574337e+01,1.787631e-01
1.890000e+00,1.484847e-01,5.537211e-01,9.888239e-01,4.870053e+00,2.030417e-01,9.888239e-01,4.870053e+00,2.030417e-01,9.888239e-01,4.870053e+00,2.030417e-01,9.999991e-01,5.888106e+00,1.698338e-01,9.999991e-01,5.888106e+00,1.698338e-01,9.999991e-01,5.888106e+00,1.698338e-01,9.999991e-01,5.888106e+00,1.698338e-01,9.999989e-01,5.882902e+00,1.699839e-01,9.999989e-01,5.882902e+00,1.699839e-01,9.999989e-01,5.882902e+00,1.699839e-01,4.726738e-01,9.966465e-01,5.581129e+01,1.785744e-01
1.900000e+00,1.515792e-01,5.563162e-01,9.893330e-01,4.889326e+00,2.023455e-01,9.893330e-01,4.889326e+00,2.023455e-01,9.893330e-01,4.889326e+00,2.023455e-01,9.999991e-01,5.889324e+00,1.697986e-01,9.999991e-01,5.889324e+00,1.697986e-01,9.999991e-01,5.889324e+00,1.697986e-01,9.999991e-01,5.889324e+00,1.697986e-01,9.999990e-01,5.884078e+00,1.699500e-01,9.999990e-01,5.884078e+00,1.699500e-01,9.999990e-01,5.884078e+00,1.699500e-01,4.753688e-01,9.967993e-01,5.587751e+01,1.783901e-01
1.910000e+00,1.546698e-01,5.588819e-01,9.898176e-01,4.908106e+00,2.016700e-01,9.898176e-01,4.908106e+00,2.016700e-01,9.898176e-01,4.908106e+00,2.016700e-01,9.999992e-01,5.890516e+00,1.697643e-01,9.999992e-01,5.890516e+00,1.697643e-01,9.999992e-01,5.890516e+00,1.697643e-01,9.999992e-01,5.890516e+00,1.697643e-01,9.999990e-01,5.885229e+00,1.699168e-01,9.999990e-01,5.885229e+00,1.699168e-01,9.999990e-01,5.885229e+00,1.699168e-01,4.780394e-01,9.969447e-01,5.594207e+01,1.782102e-01
1.920000e+00,1.577555e-01,5.614185e-01,9.902789e-01,4.926405e+00,2.010145e-01,9.902789e-01,4.926405e+00,2.010145e-01,9.902789e-01,4.926405e+00,2.010145e-01,9.999992e-01,5.891684e+00,1.697306e-01,9.999992e-01,5.891684e+00,1.697306e-01,9.999992e-01,5.891684e+00,1.697306e-01,9.999992e-01,5.891684e+00,1.697306e-01,9.999991e-01,5.886357e+00,1.698842e-01,9.999991e-01,5.886357e+00,1.698842e-01,9.999991e-01,5.886357e+00,1.698842e-01,4.806859e-01,9.970831e-01,5.600502e+01,1.780346e-01
