rho,betak1,wbetak1,Lk1,wLk1,gammak1,wgammak1,betak2,wbetak2,Lk2,wLk2,gammak2,wgammak2,etai1,wetai1,Li1,wLi1,gammai1,wgammai1,etai2,wetai2,Li2,wLi2,gammai2,wgammai2,etai3,wetai3,Li3,wLi3,gammai3,wgammai3,etai4,wetai4,Li4,wLi4,gammai4,wgammai4,etai5,wetai5,Li5,wLi5,gammai5,wgammai5,etai6,wetai6,Li6,wLi6,gammai6,wgammai6,etai7,wetai7,Li7,wLi7,gammai7,wgammai7,etai8,wetai8,Li8,wLi8,gammai8,wgammai8,etai9,wetai9,Li9,wLi9,gammai9,wgammai9,etai10,wetai10,Li10,wLi10,gammai10,wgammai10,beta,wbeta,eta,weta,L,wL,gamma,wgamma
4.000000e-01,0.000000e+00,0.000000e+00,1.037113e+00,6.484741e-04,7.713794e-01,4.842595e-04,0.000000e+00,0.000000e+00,5.024361e+00,2.754955e-03,6.369015e-01,3.495865e-04,2.658052e-01,2.561726e-04,3.416439e-01,3.076865e-04,7.780253e-01,7.323361e-04,2.645087e-01,2.017320e-04,3.400410e-01,5.312584e-04,7.779072e-01,1.071738e-03,2.657310e-01,2.519775e-04,3.397411e-01,2.157628e-04,7.821577e-01,5.821501e-04,4.597822e-01,3.119092e-04,7.217692e-01,8.835184e-04,6.370352e-01,5.906709e-04,4.589988e-01,4.463660e-05,7.213533e-01,1.039556e-03,6.363346e-01,9.564453e-04,4.585742e-01,1.184022e-04,7.212510e-01,9.295442e-04,6.358236e-01,6.570829e-04,4.588079e-01,7.167582e-05,7.157304e-01,5.178897e-04,6.410430e-01,5.084963e-04,4.591027e-01,2.997660e-04,7.211167e-01,7.411163e-04,6.366617e-01,3.165177e-04,4.591474e-01,2.474374e-04,7.203875e-01,6.071987e-04,6.373738e-01,6.987517e-04,4.601044e-01,3.344503e-04,7.184389e-01,4.422279e-04,6.404225e-01,2.593541e-04,0.000000e+00,0.000000e+00,4.010562e-01,1.072925e-04,6.061473e+00,3.286676e-03,6.599101e-01,3.581493e-04
8.000000e-01,2.980359e-06,9.405716e-07,2.805978e+00,3.799274e-03,5.702338e-01,7.700904e-04,8.629376e-03,6.449148e-05,2.182199e+01,2.794287e-02,2.907628e-01,3.871584e-04,5.293008e-01,5.379992e-04,9.256510e-01,9.810515e-04,5.718157e-01,1.427561e-04,5.297974e-01,3.352498e-04,9.285780e-01,1.742274e-03,5.705797e-01,7.583289e-04,5.301080e-01,2.345815e-04,9.243635e-01,1.013903e-03,5.734945e-01,4.095431e-04,9.109785e-01,2.294929e-04,3.125717e+00,1.886174e-03,2.914481e-01,1.427529e-04,9.093062e-01,5.097663e-04,3.120684e+00,4.300001e-03,2.913884e-01,2.508675e-04,9.107547e-01,4.710335e-04,3.121155e+00,4.760328e-03,2.918112e-01,3.037229e-04,9.079855e-01,3.349447e-04,3.111815e+00,6.186043e-03,2.918088e-01,4.821086e-04,9.105203e-01,3.836391e-04,3.121097e+00,5.007985e-03,2.917438e-01,3.439386e-04,9.078670e-01,4.801717e-04,3.119020e+00,3.821087e-03,2.910807e-01,2.275606e-04,9.115519e-01,3.129047e-04,3.129892e+00,3.241591e-03,2.912466e-01,2.589261e-04,6.904097e-03,5.170206e-05,7.958170e-01,3.555950e-04,2.462797e+01,3.167923e-02,3.226041e-01,4.279575e-04
1.200000e+00,3.388701e-03,7.413867e-05,6.685923e+00,1.820255e-02,3.578097e-01,9.872892e-04,2.756479e-01,4.265185e-04,3.929601e+01,1.120905e-02,1.769600e-01,1.540964e-04,7.979565e-01,4.565318e-04,2.193109e+00,4.228595e-03,3.638714e-01,5.542240e-04,7.978824e-01,6.213864e-04,2.205630e+00,5.543053e-03,3.617961e-01,8.577132e-04,7.958811e-01,6.137414e-04,2.194539e+00,6.128126e-03,3.627129e-01,7.473256e-04,9.997728e-01,1.555084e-05,5.625615e+00,9.508872e-04,1.777181e-01,2.909498e-05,9.996687e-01,2.567810e-05,5.624131e+00,1.278197e-03,1.777466e-01,3.754927e-05,9.997274e-01,1.127955e-05,5.625538e+00,1.575433e-03,1.777126e-01,4.790685e-05,9.997521e-01,1.610087e-05,5.626895e+00,1.278059e-03,1.776741e-01,3.829035e-05,9.996964e-01,8.765599e-06,5.627327e+00,1.168372e-03,1.776505e-01,3.633713e-05,9.996545e-01,1.011124e-05,5.629645e+00,9.640589e-04,1.775698e-01,2.914844e-05,9.996653e-01,5.712094e-06,5.629505e+00,1.346739e-03,1.775763e-01,4.325941e-05,2.211960e-01,3.293533e-04,9.389657e-01,1.309472e-04,4.598193e+01,9.135384e-03,2.032460e-01,6.997599e-05
1.600000e+00,6.299985e-02,2.300366e-04,1.301047e+01,1.371727e-02,2.304679e-01,2.977288e-04,4.667172e-01,4.209892e-04,4.007724e+01,4.616461e-03,1.703214e-01,1.214565e-04,9.578718e-01,4.187726e-04,4.078387e+00,4.486018e-03,2.348702e-01,2.014281e-04,9.592008e-01,1.569133e-04,4.069466e+00,3.412204e-03,2.357101e-01,1.704399e-04,9.572742e-01,6.547081e-05,4.070498e+00,2.078476e-03,2.351751e-01,1.145656e-04,1.000000e+00,0.000000e+00,5.839901e+00,4.259086e-04,1.712358e-01,1.249190e-05,9.999882e-01,3.731113e-06,5.838987e+00,2.102985e-04,1.712606e-01,6.240558e-06,1.000000e+00,0.000000e+00,5.838950e+00,2.333325e-04,1.712637e-01,6.844416e-06,1.000000e+00,0.000000e+00,5.840159e+00,1.753885e-04,1.712282e-01,5.142842e-06,1.000000e+00,0.000000e+00,5.836859e+00,3.101543e-04,1.713250e-01,9.105151e-06,9.999941e-01,1.876501e-06,5.837682e+00,2.069634e-04,1.712998e-01,5.832957e-06,9.999921e-01,1.997118e-06,5.836819e+00,5.570163e-05,1.713248e-01,1.932568e-06,3.859738e-01,3.614078e-04,9.874321e-01,6.170660e-05,5.308771e+01,1.007879e-02,1.850604e-01,1.177622e-04
2.000000e+00,1.832658e-01,5.615267e-04,1.697143e+01,1.602670e-02,1.925031e-01,3.135145e-04,5.809688e-01,2.458235e-04,3.954680e+01,3.869605e-03,1.695332e-01,9.209966e-05,9.934852e-01,1.677184e-04,5.075705e+00,4.538885e-03,1.957365e-01,1.483253e-04,9.930164e-01,1.131106e-04,5.075495e+00,3.570764e-03,1.956512e-01,1.235187e-04,9.930332e-01,1.757866e-04,5.075916e+00,3.849127e-03,1.956385e-01,1.300626e-04,1.000000e+00,0.000000e+00,5.901561e+00,1.325117e-04,1.694467e-01,3.804836e-06,1.000000e+00,0.000000e+00,5.901091e+00,1.079357e-04,1.694602e-01,3.099374e-06,1.000000e+00,0.000000e+00,5.901463e+00,8.642152e-05,1.694495e-01,2.481372e-06,1.000000e+00,0.000000e+00,5.901077e+00,1.873688e-04,1.694606e-01,5.380625e-06,1.000000e+00,0.000000e+00,5.895498e+00,1.626628e-04,1.696210e-01,4.679790e-06,9.999940e-01,1.889760e-06,5.895487e+00,1.014804e-04,1.696203e-01,3.080701e-06,1.000000e+00,0.000000e+00,5.894938e+00,2.103060e-04,1.696371e-01,6.051815e-06,5.014282e-01,2.789312e-04,9.979529e-01,4.227502e-05,5.651823e+01,1.241263e-02,1.764292e-01,1.267594e-04
2.400000e+00,2.935217e-01,5.678227e-04,1.872772e+01,7.565586e-03,1.810748e-01,1.824594e-04,6.558714e-01,1.783781e-04,3.908548e+01,7.409135e-03,1.690471e-01,1.173735e-04,9.986420e-01,5.283168e-05,5.442276e+00,1.037834e-03,1.834972e-01,2.639850e-05,9.985680e-01,3.624613e-05,5.442802e+00,1.045350e-03,1.834659e-01,3.317770e-05,9.986747e-01,8.411086e-06,5.442959e+00,1.226511e-03,1.834803e-01,4.273500e-05,1.000000e+00,0.000000e+00,5.929115e+00,7.088881e-05,1.686592e-01,2.016458e-06,1.000000e+00,0.000000e+00,5.929065e+00,3.443087e-05,1.686607e-01,9.794672e-07,1.000000e+00,0.000000e+00,5.929680e+00,5.651851e-05,1.686432e-01,1.607434e-06,1.000000e+00,0.000000e+00,5.929129e+00,1.463436e-04,1.686588e-01,4.163287e-06,1.000000e+00,0.000000e+00,5.922892e+00,3.684974e-05,1.688364e-01,1.050418e-06,1.000000e+00,0.000000e+00,5.922600e+00,1.071907e-04,1.688448e-01,3.055937e-06,1.000000e+00,0.000000e+00,5.922680e+00,7.088320e-05,1.688425e-01,2.020824e-06,5.834014e-01,2.251633e-04,9.995885e-01,8.276838e-06,5.781320e+01,3.505920e-03,1.729427e-01,1.026222e-04
2.800000e+00,3.771059e-01,3.327586e-04,1.962241e+01,5.055967e-03,1.777673e-01,1.373458e-04,7.070895e-01,1.047064e-04,3.878985e+01,4.040423e-03,1.691474e-01,7.768648e-05,9.996326e-01,4.881706e-05,5.608630e+00,5.955263e-04,1.782312e-01,2.398893e-05,9.995581e-01,3.489067e-05,5.606070e+00,6.274199e-04,1.782993e-01,1.530378e-05,9.996699e-01,1.829310e-05,5.603630e+00,5.788608e-04,1.783969e-01,1.563762e-05,1.000000e+00,0.000000e+00,5.944775e+00,8.936733e-05,1.682150e-01,2.528760e-06,1.000000e+00,0.000000e+00,5.944559e+00,4.660292e-05,1.682211e-01,1.318827e-06,1.000000e+00,0.000000e+00,5.944659e+00,5.535417e-05,1.682182e-01,1.566289e-06,1.000000e+00,0.000000e+00,5.944968e+00,1.060995e-04,1.682095e-01,3.002376e-06,1.000000e+00,0.000000e+00,5.938571e+00,8.664616e-05,1.683907e-01,2.456959e-06,1.000000e+00,0.000000e+00,5.938245e+00,8.587209e-05,1.683999e-01,2.435212e-06,1.000000e+00,0.000000e+00,5.938156e+00,2.403512e-05,1.684025e-01,6.816235e-07,6.410928e-01,6.348224e-05,9.998861e-01,4.344680e-06,5.841226e+01,1.310614e-03,1.720427e-01,3.140454e-05
3.200000e+00,4.468186e-01,2.430055e-04,2.020493e+01,3.692183e-03,1.752230e-01,1.036637e-04,7.451289e-01,8.739394e-05,3.855736e+01,3.257112e-03,1.692206e-01,5.420121e-05,9.999179e-01,8.527762e-06,5.702069e+00,3.064156e-04,1.753606e-01,8.618309e-06,9.999120e-01,1.032247e-05,5.697564e+00,2.283598e-04,1.754982e-01,6.227977e-06,9.998998e-01,6.362265e-06,5.700041e+00,2.403416e-04,1.754198e-01,7.424650e-06,1.000000e+00,0.000000e+00,5.954158e+00,5.692244e-05,1.679499e-01,1.605576e-06,1.000000e+00,0.000000e+00,5.954392e+00,2.381373e-05,1.679433e-01,6.716710e-07,1.000000e+00,0.000000e+00,5.954198e+00,6.588856e-05,1.679487e-01,1.858521e-06,1.000000e+00,0.000000e+00,5.954658e+00,2.899797e-05,1.679358e-01,8.177848e-07,1.000000e+00,0.000000e+00,5.948286e+00,7.510353e-05,1.681157e-01,2.122642e-06,1.000000e+00,0.000000e+00,5.948390e+00,9.236449e-05,1.681127e-01,2.610449e-06,1.000000e+00,0.000000e+00,5.948534e+00,6.492113e-05,1.681086e-01,1.834708e-06,6.854668e-01,7.277489e-05,9.999730e-01,1.306702e-06,5.876229e+01,6.695244e-04,1.712844e-01,4.082979e-05
