alpha,upper1,lower1,upper2,lower2
5.000000e-03,9.967243e-01,9.963974e-01,1.991856e+00,1.991202e+00
1.000000e-02,9.933483e-01,9.928944e-01,1.983512e+00,1.982605e+00
1.500000e-02,9.899718e-01,9.893908e-01,1.975168e+00,1.974008e+00
2.000000e-02,9.865950e-01,9.858867e-01,1.966825e+00,1.965412e+00
2.500000e-02,9.832177e-01,9.823821e-01,1.958483e+00,1.956817e+00
3.000000e-02,9.798399e-01,9.788769e-01,1.950141e+00,1.948222e+00
3.500000e-02,9.764617e-01,9.753711e-01,1.941799e+00,1.939628e+00
4.000000e-02,9.730829e-01,9.718647e-01,1.933458e+00,1.931035e+00
4.500000e-02,9.697036e-01,9.683576e-01,1.925117e+00,1.922442e+00
5.000000e-02,9.663238e-01,9.648499e-01,1.916776e+00,1.913850e+00
5.500000e-02,9.629434e-01,9.613415e-01,1.908436e+00,1.905258e+00
6.000000e-02,9.595624e-01,9.578324e-01,1.900096e+00,1.896667e+00
6.500000e-02,9.561808e-01,9.543226e-01,1.891757e+00,1.888076e+00
7.000000e-02,9.527985e-01,9.508120e-01,1.883417e+00,1.879486e+00
7.500000e-02,9.494156e-01,9.473006e-01,1.875078e+00,1.870896e+00
8.000000e-02,9.460320e-01,9.437884e-01,1.866739e+00,1.862307e+00
8.500000e-02,9.426477e-01,9.402754e-01,1.858400e+00,1.853718e+00
9.000000e-02,9.392626e-01,9.367615e-01,1.850061e+00,1.845129e+00
9.500000e-02,9.358767e-01,9.332467e-01,1.841723e+00,1.836541e+00
1.000000e-01,9.324901e-01,9.297310e-01,1.833384e+00,1.827953e+00
1.050000e-01,9.291026e-01,9.262143e-01,1.825046e+00,1.819365e+00
1.100000e-01,9.257142e-01,9.226966e-01,1.816707e+00,1.810778e+00
1.150000e-01,9.223250e-01,9.191779e-01,1.808369e+00,1.802191e+00
1.200000e-01,9.189349e-01,9.156582e-01,1.800030e+00,1.793604e+00
1.250000e-01,9.155438e-01,9.121374e-01,1.791692e+00,1.785017e+00
1.300000e-01,9.121518e-01,9.086155e-01,1.783353e+00,1.776430e+00
1.350000e-01,9.087587e-01,9.050924e-01,1.775014e+00,1.767844e+00
1.400000e-01,9.053647e-01,9.015682e-01,1.766675e+00,1.759257e+00
1.450000e-01,9.019695e-01,8.980428e-01,1.758336e+00,1.750671e+00
1.500000e-01,8.985733e-01,8.945161e-01,1.749997e+00,1.742085e+00
1.550000e-01,8.951759e-01,8.909882e-01,1.741657e+00,1.733498e+00
1.600000e-01,8.917774e-01,8.874589e-01,1.733317e+00,1.724912e+00
1.650000e-01,8.883777e-01,8.839283e-01,1.724976e+00,1.716326e+00
1.700000e-01,8.849767e-01,8.803963e-01,1.716636e+00,1.707739e+00
1.750000e-01,8.815745e-01,8.768629e-01,1.708295e+00,1.699152e+00
1.800000e-01,8.781710e-01,8.733281e-01,1.699953e+00,1.690566e+00
1.850000e-01,8.747661e-01,8.697917e-01,1.691611e+00,1.681978e+00
1.900000e-01,8.713599e-01,8.662539e-01,1.683268e+00,1.673391e+00
1.950000e-01,8.679522e-01,8.627144e-01,1.674925e+00,1.664803e+00
2.000000e-01,8.645431e-01,8.591733e-01,1.666581e+00,1.656215e+00
2.050000e-01,8.611325e-01,8.556306e-01,1.658236e+00,1.647627e+00
2.100000e-01,8.577204e-01,8.520862e-01,1.649891e+00,1.639038e+00
2.150000e-01,8.543067e-01,8.485400e-01,1.641545e+00,1.630449e+00
2.200000e-01,8.508914e-01,8.449921e-01,1.633198e+00,1.621859e+00
2.250000e-01,8.474745e-01,8.414423e-01,1.624851e+00,1.613269e+00
2.300000e-01,8.440558e-01,8.378906e-01,1.616502e+00,1.604678e+00
2.350000e-01,8.406354e-01,8.343370e-01,1.608153e+00,1.596087e+00
2.400000e-01,8.372132e-01,8.307815e-01,1.599802e+00,1.587495e+00
2.450000e-01,8.337891e-01,8.272239e-01,1.591451e+00,1.578902e+00
2.500000e-01,8.303632e-01,8.236643e-01,1.583098e+00,1.570308e+00
2.550000e-01,8.269354e-01,8.201025e-01,1.574744e+00,1.561714e+00
2.600000e-01,8.235056e-01,8.165386e-01,1.566389e+00,1.553118e+00
2.650000e-01,8.200737e-01,8.129724e-01,1.558033e+00,1.544522e+00
2.700000e-01,8.166398e-01,8.094040e-01,1.549675e+00,1.535925e+00
2.750000e-01,8.132037e-01,8.058332e-01,1.541316e+00,1.527327e+00
2.800000e-01,8.097655e-01,8.022601e-01,1.532956e+00,1.518727e+00
2.850000e-01,8.063250e-01,7.986845e-01,1.524594e+00,1.510127e+00
2.900000e-01,8.028822e-01,7.951064e-01,1.516231e+00,1.501525e+00
2.950000e-01,7.994371e-01,7.915258e-01,1.507866e+00,1.492922e+00
3.000000e-01,7.959895e-01,7.879425e-01,1.499499e+00,1.484318e+00
3.050000e-01,7.925395e-01,7.843565e-01,1.491131e+00,1.475712e+00
3.100000e-01,7.890870e-01,7.807678e-01,1.482761e+00,1.467105e+00
3.150000e-01,7.856319e-01,7.771763e-01,1.474388e+00,1.458496e+00
3.200000e-01,7.821741e-01,7.735819e-01,1.466014e+00,1.449886e+00
3.250000e-01,7.787136e-01,7.699845e-01,1.457638e+00,1.441274e+00
3.300000e-01,7.752503e-01,7.663842e-01,1.449260e+00,1.432661e+00
3.350000e-01,7.717842e-01,7.627807e-01,1.440880e+00,1.424046e+00
3.400000e-01,7.683152e-01,7.591741e-01,1.432497e+00,1.415428e+00
3.450000e-01,7.648432e-01,7.555643e-01,1.424112e+00,1.406809e+00
3.500000e-01,7.613681e-01,7.519512e-01,1.415725e+00,1.398188e+00
3.550000e-01,7.578899e-01,7.483347e-01,1.407335e+00,1.389565e+00
3.600000e-01,7.544085e-01,7.447147e-01,1.398943e+00,1.380940e+00
3.650000e-01,7.509239e-01,7.410912e-01,1.390548e+00,1.372312e+00
3.700000e-01,7.474358e-01,7.374640e-01,1.382150e+00,1.363682e+00
3.750000e-01,7.439443e-01,7.338332e-01,1.373750e+00,1.355050e+00
3.800000e-01,7.404493e-01,7.301985e-01,1.365346e+00,1.346415e+00
3.850000e-01,7.369507e-01,7.265600e-01,1.356940e+00,1.337778e+00
3.900000e-01,7.334484e-01,7.229175e-01,1.348530e+00,1.329138e+00
3.950000e-01,7.299424e-01,7.192709e-01,1.340118e+00,1.320495e+00
4.000000e-01,7.264324e-01,7.156202e-01,1.331701e+00,1.311849e+00
4.050000e-01,7.229185e-01,7.119652e-01,1.323282e+00,1.303200e+00
4.100000e-01,7.194005e-01,7.083058e-01,1.314859e+00,1.294549e+00
4.150000e-01,7.158784e-01,7.046420e-01,1.306432e+00,1.285894e+00
4.200000e-01,7.123521e-01,7.009736e-01,1.298002e+00,1.277235e+00
4.250000e-01,7.088213e-01,6.973006e-01,1.289567e+00,1.268574e+00
4.300000e-01,7.052861e-01,6.936228e-01,1.281129e+00,1.259909e+00
4.350000e-01,7.017464e-01,6.899400e-01,1.272687e+00,1.251240e+00
4.400000e-01,6.982020e-01,6.862523e-01,1.264240e+00,1.242568e+00
4.450000e-01,6.946527e-01,6.825594e-01,1.255789e+00,1.233891e+00
4.500000e-01,6.910986e-01,6.788613e-01,1.247334e+00,1.225211e+00
4.550000e-01,6.875395e-01,6.751578e-01,1.238874e+00,1.216527e+00
4.600000e-01,6.839752e-01,6.714489e-01,1.230409e+00,1.207838e+00
4.650000e-01,6.804056e-01,6.677342e-01,1.221939e+00,1.199145e+00
4.700000e-01,6.768307e-01,6.640139e-01,1.213464e+00,1.190448e+00
4.750000e-01,6.732502e-01,6.602876e-01,1.204984e+00,1.181745e+00
4.800000e-01,6.696640e-01,6.565552e-01,1.196499e+00,1.173038e+00
4.850000e-01,6.660721e-01,6.528167e-01,1.188008e+00,1.164326e+00
4.900000e-01,6.624742e-01,6.490718e-01,1.179512e+00,1.155609e+00
4.950000e-01,6.588702e-01,6.453204e-01,1.171010e+00,1.146887e+00
5.000000e-01,6.552599e-01,6.415624e-01,1.162501e+00,1.138159e+00
5.050000e-01,6.516433e-01,6.377975e-01,1.153987e+00,1.129426e+00
5.100000e-01,6.480201e-01,6.340256e-01,1.145466e+00,1.120687e+00
5.150000e-01,6.443901e-01,6.302466e-01,1.136939e+00,1.111941e+00
5.200000e-01,6.407533e-01,6.264602e-01,1.128404e+00,1.103190e+00
5.250000e-01,6.371094e-01,6.226663e-01,1.119863e+00,1.094433e+00
5.300000e-01,6.334582e-01,6.188647e-01,1.111315e+00,1.085668e+00
5.350000e-01,6.297996e-01,6.150552e-01,1.102759e+00,1.076898e+00
5.400000e-01,6.261334e-01,6.112375e-01,1.094196e+00,1.068120e+00
5.450000e-01,6.224593e-01,6.074116e-01,1.085625e+00,1.059335e+00
5.500000e-01,6.187772e-01,6.035771e-01,1.077046e+00,1.050542e+00
5.550000e-01,6.150869e-01,5.997339e-01,1.068459e+00,1.041742e+00
5.600000e-01,6.113881e-01,5.958816e-01,1.059863e+00,1.032934e+00
5.650000e-01,6.076806e-01,5.920202e-01,1.051258e+00,1.024119e+00
5.700000e-01,6.039643e-01,5.881493e-01,1.042645e+00,1.015294e+00
5.750000e-01,6.002387e-01,5.842687e-01,1.034022e+00,1.006461e+00
5.800000e-01,5.965038e-01,5.803782e-01,1.025389e+00,9.976196e-01
5.850000e-01,5.927593e-01,5.764774e-01,1.016747e+00,9.887686e-01
5.900000e-01,5.890048e-01,5.725661e-01,1.008094e+00,9.799082e-01
5.950000e-01,5.852402e-01,5.686440e-01,9.994314e-01,9.710381e-01
6.000000e-01,5.814650e-01,5.647109e-01,9.907575e-01,9.621579e-01
6.050000e-01,5.776792e-01,5.607663e-01,9.820725e-01,9.532673e-01
6.100000e-01,5.738823e-01,5.568101e-01,9.733760e-01,9.443661e-01
6.150000e-01,5.700740e-01,5.528418e-01,9.646677e-01,9.354538e-01
6.200000e-01,5.662540e-01,5.488611e-01,9.559471e-01,9.265300e-01
6.250000e-01,5.624220e-01,5.448677e-01,9.472140e-01,9.175945e-01
6.300000e-01,5.585776e-01,5.408613e-01,9.384679e-01,9.086469e-01
6.350000e-01,5.547205e-01,5.368413e-01,9.297084e-01,8.996867e-01
6.400000e-01,5.508503e-01,5.328075e-01,9.209351e-01,8.907135e-01
6.450000e-01,5.469665e-01,5.287595e-01,9.121475e-01,8.817270e-01
