alpha,upper1,lower1,upper2,lower2
5.000000e-03,9.965711e-01,9.965628e-01,1.991557e+00,1.991541e+00
1.000000e-02,9.931408e-01,9.931262e-01,1.983113e+00,1.983084e+00
1.500000e-02,9.897101e-01,9.896891e-01,1.974670e+00,1.974628e+00
2.000000e-02,9.862790e-01,9.862516e-01,1.966227e+00,1.966172e+00
2.500000e-02,9.828473e-01,9.828136e-01,1.957785e+00,1.957717e+00
3.000000e-02,9.794152e-01,9.793751e-01,1.949343e+00,1.949263e+00
3.500000e-02,9.759825e-01,9.759360e-01,1.940902e+00,1.940809e+00
4.000000e-02,9.725493e-01,9.724964e-01,1.932461e+00,1.932356e+00
4.500000e-02,9.691155e-01,9.690563e-01,1.924021e+00,1.923903e+00
5.000000e-02,9.656812e-01,9.656156e-01,1.915581e+00,1.915451e+00
5.500000e-02,9.622462e-01,9.621742e-01,1.907142e+00,1.906999e+00
6.000000e-02,9.588106e-01,9.587322e-01,1.898703e+00,1.898548e+00
6.500000e-02,9.553744e-01,9.552895e-01,1.890265e+00,1.890097e+00
7.000000e-02,9.519374e-01,9.518462e-01,1.881826e+00,1.881646e+00
7.500000e-02,9.484998e-01,9.484021e-01,1.873389e+00,1.873196e+00
8.000000e-02,9.450614e-01,9.449573e-01,1.864951e+00,1.864746e+00
8.500000e-02,9.416222e-01,9.415117e-01,1.856514e+00,1.856296e+00
9.000000e-02,9.381823e-01,9.380654e-01,1.848077e+00,1.847847e+00
9.500000e-02,9.347416e-01,9.346182e-01,1.839641e+00,1.839398e+00
1.000000e-01,9.313000e-01,9.311701e-01,1.831204e+00,1.830949e+00
1.050000e-01,9.278575e-01,9.277212e-01,1.822768e+00,1.822500e+00
1.100000e-01,9.244141e-01,9.242714e-01,1.814332e+00,1.814052e+00
1.150000e-01,9.209699e-01,9.208207e-01,1.805896e+00,1.805603e+00
1.200000e-01,9.175246e-01,9.173690e-01,1.797460e+00,1.797155e+00
1.250000e-01,9.140784e-01,9.139163e-01,1.789024e+00,1.788707e+00
1.300000e-01,9.106312e-01,9.104625e-01,1.780589e+00,1.780259e+00
1.350000e-01,9.071829e-01,9.070078e-01,1.772153e+00,1.771811e+00
1.400000e-01,9.037335e-01,9.035519e-01,1.763717e+00,1.763363e+00
1.450000e-01,9.002830e-01,9.000949e-01,1.755282e+00,1.754915e+00
1.500000e-01,8.968314e-01,8.966368e-01,1.746846e+00,1.746466e+00
1.550000e-01,8.933786e-01,8.931775e-01,1.738410e+00,1.738018e+00
1.600000e-01,8.899246e-01,8.897169e-01,1.729974e+00,1.729570e+00
1.650000e-01,8.864694e-01,8.862552e-01,1.721537e+00,1.721121e+00
1.700000e-01,8.830129e-01,8.827921e-01,1.713101e+00,1.712672e+00
1.750000e-01,8.795550e-01,8.793277e-01,1.704664e+00,1.704223e+00
1.800000e-01,8.760958e-01,8.758619e-01,1.696227e+00,1.695774e+00
1.850000e-01,8.726352e-01,8.723948e-01,1.687789e+00,1.687324e+00
1.900000e-01,8.691732e-01,8.689262e-01,1.679351e+00,1.678874e+00
1.950000e-01,8.657097e-01,8.654562e-01,1.670913e+00,1.670423e+00
2.000000e-01,8.622448e-01,8.619846e-01,1.662474e+00,1.661972e+00
2.050000e-01,8.587782e-01,8.585115e-01,1.654035e+00,1.653521e+00
2.100000e-01,8.553101e-01,8.550367e-01,1.645595e+00,1.645069e+00
2.150000e-01,8.518404e-01,8.515604e-01,1.637155e+00,1.636617e+00
2.200000e-01,8.483690e-01,8.480824e-01,1.628714e+00,1.628163e+00
2.250000e-01,8.448959e-01,8.446026e-01,1.620272e+00,1.619710e+00
2.300000e-01,8.414210e-01,8.411211e-01,1.611830e+00,1.611255e+00
2.350000e-01,8.379443e-01,8.376378e-01,1.603387e+00,1.602800e+00
2.400000e-01,8.344658e-01,8.341526e-01,1.594943e+00,1.594344e+00
2.450000e-01,8.309854e-01,8.306655e-01,1.586498e+00,1.585887e+00
2.500000e-01,8.275031e-01,8.271765e-01,1.578052e+00,1.577429e+00
2.550000e-01,8.240187e-01,8.236855e-01,1.569605e+00,1.568970e+00
2.600000e-01,8.205323e-01,8.201924e-01,1.561158e+00,1.560511e+00
2.650000e-01,8.170439e-01,8.166972e-01,1.552709e+00,1.552050e+00
2.700000e-01,8.135532e-01,8.131999e-01,1.544259e+00,1.543588e+00
2.750000e-01,8.100604e-01,8.097004e-01,1.535808e+00,1.535125e+00
2.800000e-01,8.065654e-01,8.061986e-01,1.527355e+00,1.526661e+00
2.850000e-01,8.030680e-01,8.026945e-01,1.518902e+00,1.518195e+00
2.900000e-01,7.995683e-01,7.991880e-01,1.510447e+00,1.509728e+00
2.950000e-01,7.960662e-01,7.956791e-01,1.501990e+00,1.501260e+00
3.000000e-01,7.925616e-01,7.921678e-01,1.493533e+00,1.492790e+00
3.050000e-01,7.890545e-01,7.886538e-01,1.485073e+00,1.484319e+00
3.100000e-01,7.855447e-01,7.851373e-01,1.476612e+00,1.475846e+00
3.150000e-01,7.820324e-01,7.816181e-01,1.468149e+00,1.467372e+00
3.200000e-01,7.785173e-01,7.780962e-01,1.459685e+00,1.458895e+00
3.250000e-01,7.749994e-01,7.745715e-01,1.451219e+00,1.450417e+00
3.300000e-01,7.714786e-01,7.710439e-01,1.442751e+00,1.441937e+00
3.350000e-01,7.679550e-01,7.675134e-01,1.434281e+00,1.433456e+00
3.400000e-01,7.644283e-01,7.639799e-01,1.425809e+00,1.424972e+00
3.450000e-01,7.608986e-01,7.604433e-01,1.417334e+00,1.416486e+00
3.500000e-01,7.573658e-01,7.569036e-01,1.408858e+00,1.407998e+00
3.550000e-01,7.538298e-01,7.533606e-01,1.400380e+00,1.399508e+00
3.600000e-01,7.502904e-01,7.498144e-01,1.391899e+00,1.391015e+00
3.650000e-01,7.467478e-01,7.462648e-01,1.383415e+00,1.382520e+00
3.700000e-01,7.432016e-01,7.427117e-01,1.374929e+00,1.374023e+00
3.750000e-01,7.396520e-01,7.391551e-01,1.366441e+00,1.365523e+00
