alpha,upper1,lower1,upper2,lower2
5.000000e-03,9.981963e-01,9.949271e-01,1.994799e+00,1.988262e+00
1.000000e-02,9.953930e-01,9.908538e-01,1.987597e+00,1.978527e+00
1.500000e-02,9.925903e-01,9.867798e-01,1.980397e+00,1.968794e+00
2.000000e-02,9.897880e-01,9.827053e-01,1.973196e+00,1.959064e+00
2.500000e-02,9.869861e-01,9.786302e-01,1.965997e+00,1.949336e+00
3.000000e-02,9.841848e-01,9.745544e-01,1.958797e+00,1.939611e+00
3.500000e-02,9.813838e-01,9.704780e-01,1.951598e+00,1.929888e+00
4.000000e-02,9.785833e-01,9.664010e-01,1.944399e+00,1.920167e+00
4.500000e-02,9.757833e-01,9.623232e-01,1.937200e+00,1.910449e+00
5.000000e-02,9.729836e-01,9.582448e-01,1.930001e+00,1.900733e+00
5.500000e-02,9.701844e-01,9.541656e-01,1.922803e+00,1.891020e+00
6.000000e-02,9.673855e-01,9.500856e-01,1.915605e+00,1.881309e+00
6.500000e-02,9.645870e-01,9.460048e-01,1.908407e+00,1.871601e+00
7.000000e-02,9.617889e-01,9.419233e-01,1.901210e+00,1.861895e+00
7.500000e-02,9.589911e-01,9.378408e-01,1.894012e+00,1.852191e+00
8.000000e-02,9.561937e-01,9.337575e-01,1.886814e+00,1.842490e+00
8.500000e-02,9.533966e-01,9.296733e-01,1.879617e+00,1.832791e+00
9.000000e-02,9.505998e-01,9.255882e-01,1.872420e+00,1.823094e+00
9.500000e-02,9.478034e-01,9.215021e-01,1.865222e+00,1.813400e+00
1.000000e-01,9.450072e-01,9.174151e-01,1.858025e+00,1.803709e+00
1.050000e-01,9.422114e-01,9.133270e-01,1.850828e+00,1.794019e+00
1.100000e-01,9.394157e-01,9.092379e-01,1.843630e+00,1.784332e+00
1.150000e-01,9.366204e-01,9.051477e-01,1.836433e+00,1.774648e+00
1.200000e-01,9.338253e-01,9.010564e-01,1.829235e+00,1.764966e+00
1.250000e-01,9.310304e-01,8.969640e-01,1.822037e+00,1.755286e+00
1.300000e-01,9.282358e-01,8.928704e-01,1.814839e+00,1.745608e+00
1.350000e-01,9.254413e-01,8.887756e-01,1.807641e+00,1.735933e+00
1.400000e-01,9.226471e-01,8.846796e-01,1.800443e+00,1.726260e+00
1.450000e-01,9.198530e-01,8.805823e-01,1.793244e+00,1.716589e+00
1.500000e-01,9.170590e-01,8.764837e-01,1.786046e+00,1.706921e+00
1.550000e-01,9.142652e-01,8.723838e-01,1.778846e+00,1.697255e+00
1.600000e-01,9.114716e-01,8.682825e-01,1.771647e+00,1.687591e+00
1.650000e-01,9.086780e-01,8.641798e-01,1.764447e+00,1.677930e+00
1.700000e-01,9.058846e-01,8.600756e-01,1.757246e+00,1.668270e+00
1.750000e-01,9.030912e-01,8.559700e-01,1.750045e+00,1.658613e+00
1.800000e-01,9.002979e-01,8.518629e-01,1.742844e+00,1.648959e+00
1.850000e-01,8.975047e-01,8.477542e-01,1.735642e+00,1.639306e+00
1.900000e-01,8.947114e-01,8.436439e-01,1.728440e+00,1.629656e+00
1.950000e-01,8.919182e-01,8.395320e-01,1.721237e+00,1.620008e+00
2.000000e-01,8.891250e-01,8.354184e-01,1.714033e+00,1.610362e+00
2.050000e-01,8.863318e-01,8.313031e-01,1.706829e+00,1.600718e+00
2.100000e-01,8.835385e-01,8.271861e-01,1.699623e+00,1.591077e+00
2.150000e-01,8.807452e-01,8.230672e-01,1.692418e+00,1.581437e+00
2.200000e-01,8.779518e-01,8.189465e-01,1.685211e+00,1.571800e+00
2.250000e-01,8.751582e-01,8.148239e-01,1.678003e+00,1.562165e+00
2.300000e-01,8.723646e-01,8.106994e-01,1.670795e+00,1.552532e+00
