alpha,upper1,lower1,upper2,lower2
5.000000e-03,9.965772e-01,9.965445e-01,1.991561e+00,1.991496e+00
1.000000e-02,9.931440e-01,9.930986e-01,1.983103e+00,1.983013e+00
1.500000e-02,9.897103e-01,9.896522e-01,1.974646e+00,1.974530e+00
2.000000e-02,9.862762e-01,9.862054e-01,1.966189e+00,1.966048e+00
2.500000e-02,9.828416e-01,9.827580e-01,1.957733e+00,1.957566e+00
3.000000e-02,9.794064e-01,9.793101e-01,1.949277e+00,1.949085e+00
3.500000e-02,9.759707e-01,9.758617e-01,1.940822e+00,1.940605e+00
4.000000e-02,9.725345e-01,9.724127e-01,1.932367e+00,1.932125e+00
4.500000e-02,9.690977e-01,9.689631e-01,1.923913e+00,1.923645e+00
5.000000e-02,9.656603e-01,9.655129e-01,1.915459e+00,1.915166e+00
5.500000e-02,9.622222e-01,9.620621e-01,1.907005e+00,1.906687e+00
6.000000e-02,9.587835e-01,9.586106e-01,1.898552e+00,1.898209e+00
6.500000e-02,9.553442e-01,9.551584e-01,1.890099e+00,1.889731e+00
7.000000e-02,9.519041e-01,9.517054e-01,1.881647e+00,1.881254e+00
7.500000e-02,9.484633e-01,9.482518e-01,1.873195e+00,1.872777e+00
8.000000e-02,9.450217e-01,9.447974e-01,1.864743e+00,1.864300e+00
8.500000e-02,9.415794e-01,9.413422e-01,1.856292e+00,1.855823e+00
9.000000e-02,9.381363e-01,9.378862e-01,1.847840e+00,1.847347e+00
9.500000e-02,9.346923e-01,9.344293e-01,1.839389e+00,1.838871e+00
1.000000e-01,9.312475e-01,9.309715e-01,1.830938e+00,1.830395e+00
1.050000e-01,9.278017e-01,9.275129e-01,1.822487e+00,1.821919e+00
1.100000e-01,9.243551e-01,9.240533e-01,1.814037e+00,1.813444e+00
1.150000e-01,9.209075e-01,9.205928e-01,1.805586e+00,1.804968e+00
1.200000e-01,9.174589e-01,9.171313e-01,1.797135e+00,1.796493e+00
1.250000e-01,9.140094e-01,9.136687e-01,1.788685e+00,1.788017e+00
1.300000e-01,9.105587e-01,9.102051e-01,1.780234e+00,1.779542e+00
1.350000e-01,9.071071e-01,9.067404e-01,1.771784e+00,1.771067e+00
1.400000e-01,9.036543e-01,9.032746e-01,1.763333e+00,1.762592e+00
1.450000e-01,9.002004e-01,8.998077e-01,1.754883e+00,1.754116e+00
1.500000e-01,8.967453e-01,8.963396e-01,1.746432e+00,1.745641e+00
1.550000e-01,8.932890e-01,8.928702e-01,1.737981e+00,1.737165e+00
1.600000e-01,8.898315e-01,8.893996e-01,1.729530e+00,1.728689e+00
1.650000e-01,8.863727e-01,8.859278e-01,1.721078e+00,1.720213e+00
1.700000e-01,8.829126e-01,8.824546e-01,1.712627e+00,1.711737e+00
1.750000e-01,8.794512e-01,8.789800e-01,1.704175e+00,1.703260e+00
1.800000e-01,8.759884e-01,8.755041e-01,1.695722e+00,1.694783e+00
1.850000e-01,8.725241e-01,8.720267e-01,1.687269e+00,1.686306e+00
1.900000e-01,8.690585e-01,8.685479e-01,1.678816e+00,1.677829e+00
1.950000e-01,8.655913e-01,8.650675e-01,1.670363e+00,1.669350e+00
2.000000e-01,8.621226e-01,8.615856e-01,1.661908e+00,1.660872e+00
2.050000e-01,8.586523e-01,8.581021e-01,1.653454e+00,1.652393e+00
2.100000e-01,8.551804e-01,8.546170e-01,1.644999e+00,1.643913e+00
2.150000e-01,8.517069e-01,8.511302e-01,1.636543e+00,1.635433e+00
2.200000e-01,8.482316e-01,8.476417e-01,1.628086e+00,1.626952e+00
2.250000e-01,8.447547e-01,8.441514e-01,1.619629e+00,1.618471e+00
2.300000e-01,8.412759e-01,8.406594e-01,1.611171e+00,1.609988e+00
2.350000e-01,8.377953e-01,8.371654e-01,1.602712e+00,1.601505e+00
2.400000e-01,8.343128e-01,8.336696e-01,1.594252e+00,1.593021e+00
2.450000e-01,8.308284e-01,8.301719e-01,1.585791e+00,1.584536e+00
2.500000e-01,8.273420e-01,8.266721e-01,1.577330e+00,1.576051e+00
2.550000e-01,8.238536e-01,8.231703e-01,1.568867e+00,1.567564e+00
2.600000e-01,8.203631e-01,8.196664e-01,1.560403e+00,1.559076e+00
2.650000e-01,8.168705e-01,8.161604e-01,1.551939e+00,1.550587e+00
2.700000e-01,8.133757e-01,8.126521e-01,1.543472e+00,1.542097e+00
2.750000e-01,8.098787e-01,8.091417e-01,1.535005e+00,1.533606e+00
2.800000e-01,8.063794e-01,8.056289e-01,1.526537e+00,1.525114e+00
2.850000e-01,8.028778e-01,8.021137e-01,1.518067e+00,1.516620e+00
2.900000e-01,7.993737e-01,7.985962e-01,1.509596e+00,1.508125e+00
2.950000e-01,7.958672e-01,7.950761e-01,1.501123e+00,1.499628e+00
3.000000e-01,7.923582e-01,7.915535e-01,1.492648e+00,1.491130e+00
3.050000e-01,7.888467e-01,7.880284e-01,1.484173e+00,1.482631e+00
3.100000e-01,7.853324e-01,7.845005e-01,1.475695e+00,1.474129e+00
3.150000e-01,7.818155e-01,7.809700e-01,1.467216e+00,1.465627e+00
3.200000e-01,7.782959e-01,7.774366e-01,1.458735e+00,1.457122e+00
3.250000e-01,7.747734e-01,7.739005e-01,1.450252e+00,1.448615e+00
3.300000e-01,7.712480e-01,7.703613e-01,1.441767e+00,1.440107e+00
3.350000e-01,7.677196e-01,7.668192e-01,1.433280e+00,1.431597e+00
3.400000e-01,7.641882e-01,7.632741e-01,1.424791e+00,1.423084e+00
3.450000e-01,7.606537e-01,7.597258e-01,1.416300e+00,1.414570e+00
3.500000e-01,7.571160e-01,7.561743e-01,1.407806e+00,1.406053e+00
3.550000e-01,7.535751e-01,7.526195e-01,1.399311e+00,1.397534e+00
3.600000e-01,7.500308e-01,7.490614e-01,1.390813e+00,1.389012e+00
3.650000e-01,7.464831e-01,7.454998e-01,1.382312e+00,1.380489e+00
3.700000e-01,7.429319e-01,7.419348e-01,1.373809e+00,1.371962e+00
