alpha,upper1,lower1,upper2,lower2
5.000000e-03,9.966087e-01,9.965253e-01,1.991632e+00,1.991466e+00
1.000000e-02,9.932069e-01,9.930601e-01,1.983245e+00,1.982952e+00
1.500000e-02,9.898048e-01,9.895945e-01,1.974859e+00,1.974439e+00
2.000000e-02,9.864022e-01,9.861283e-01,1.966473e+00,1.965927e+00
2.500000e-02,9.829992e-01,9.826617e-01,1.958087e+00,1.957415e+00
3.000000e-02,9.795957e-01,9.791946e-01,1.949702e+00,1.948904e+00
3.500000e-02,9.761917e-01,9.757269e-01,1.941318e+00,1.940393e+00
4.000000e-02,9.727872e-01,9.722586e-01,1.932934e+00,1.931883e+00
4.500000e-02,9.693822e-01,9.687898e-01,1.924550e+00,1.923374e+00
5.000000e-02,9.659766e-01,9.653203e-01,1.916167e+00,1.914865e+00
5.500000e-02,9.625704e-01,9.618502e-01,1.907784e+00,1.906357e+00
6.000000e-02,9.591636e-01,9.583794e-01,1.899402e+00,1.897849e+00
6.500000e-02,9.557561e-01,9.549079e-01,1.891020e+00,1.889341e+00
7.000000e-02,9.523481e-01,9.514358e-01,1.882638e+00,1.880834e+00
7.500000e-02,9.489393e-01,9.479628e-01,1.874257e+00,1.872328e+00
8.000000e-02,9.455298e-01,9.444892e-01,1.865876e+00,1.863822e+00
8.500000e-02,9.421196e-01,9.410147e-01,1.857495e+00,1.855316e+00
9.000000e-02,9.387087e-01,9.375394e-01,1.849114e+00,1.846810e+00
9.500000e-02,9.352969e-01,9.340632e-01,1.840734e+00,1.838305e+00
1.000000e-01,9.318844e-01,9.305862e-01,1.832354e+00,1.829800e+00
1.050000e-01,9.284710e-01,9.271083e-01,1.823973e+00,1.821296e+00
1.100000e-01,9.250567e-01,9.236294e-01,1.815593e+00,1.812791e+00
1.150000e-01,9.216415e-01,9.201496e-01,1.807213e+00,1.804287e+00
1.200000e-01,9.182254e-01,9.166688e-01,1.798834e+00,1.795783e+00
1.250000e-01,9.148084e-01,9.131870e-01,1.790454e+00,1.787279e+00
1.300000e-01,9.113904e-01,9.097041e-01,1.782074e+00,1.778776e+00
1.350000e-01,9.079713e-01,9.062201e-01,1.773694e+00,1.770272e+00
1.400000e-01,9.045513e-01,9.027351e-01,1.765314e+00,1.761768e+00
1.450000e-01,9.011301e-01,8.992488e-01,1.756934e+00,1.753265e+00
1.500000e-01,8.977078e-01,8.957614e-01,1.748553e+00,1.744761e+00
1.550000e-01,8.942844e-01,8.922728e-01,1.740173e+00,1.736257e+00
1.600000e-01,8.908598e-01,8.887829e-01,1.731792e+00,1.727754e+00
1.650000e-01,8.874340e-01,8.852918e-01,1.723411e+00,1.719250e+00
1.700000e-01,8.840070e-01,8.817993e-01,1.715030e+00,1.710746e+00
1.750000e-01,8.805787e-01,8.783055e-01,1.706648e+00,1.702241e+00
1.800000e-01,8.771490e-01,8.748103e-01,1.698266e+00,1.693737e+00
1.850000e-01,8.737180e-01,8.713136e-01,1.689884e+00,1.685232e+00
1.900000e-01,8.702857e-01,8.678155e-01,1.681501e+00,1.676727e+00
1.950000e-01,8.668519e-01,8.643159e-01,1.673118e+00,1.668222e+00
2.000000e-01,8.634166e-01,8.608147e-01,1.664734e+00,1.659716e+00
2.050000e-01,8.599798e-01,8.573120e-01,1.656350e+00,1.651210e+00
2.100000e-01,8.565415e-01,8.538076e-01,1.647965e+00,1.642704e+00
2.150000e-01,8.531016e-01,8.503015e-01,1.639579e+00,1.634196e+00
2.200000e-01,8.496600e-01,8.467937e-01,1.631193e+00,1.625689e+00
2.250000e-01,8.462168e-01,8.432842e-01,1.622806e+00,1.617181e+00
2.300000e-01,8.427719e-01,8.397729e-01,1.614418e+00,1.608672e+00
2.350000e-01,8.393252e-01,8.362597e-01,1.606030e+00,1.600162e+00
2.400000e-01,8.358767e-01,8.327446e-01,1.597640e+00,1.591652e+00
2.450000e-01,8.324264e-01,8.292276e-01,1.589250e+00,1.583141e+00
2.500000e-01,8.289741e-01,8.257086e-01,1.580858e+00,1.574629e+00
2.550000e-01,8.255199e-01,8.221876e-01,1.572466e+00,1.566116e+00
2.600000e-01,8.220638e-01,8.186645e-01,1.564072e+00,1.557603e+00
2.650000e-01,8.186055e-01,8.151392e-01,1.555677e+00,1.549088e+00
