rho,performance,interval
5.000000e-02,2.904383e+00,2.818858e-03
1.000000e-01,2.817656e+00,2.883449e-03
1.500000e-01,2.722668e+00,3.171175e-03
2.000000e-01,2.623322e+00,2.964099e-03
2.500000e-01,2.522798e+00,3.125181e-03
3.000000e-01,2.416272e+00,3.240997e-03
3.500000e-01,2.311735e+00,2.726641e-03
4.000000e-01,2.199613e+00,3.387302e-03
4.500000e-01,2.083692e+00,3.009161e-03
5.000000e-01,1.968331e+00,3.041240e-03
5.500000e-01,1.844438e+00,3.093086e-03
6.000000e-01,1.721476e+00,3.368114e-03
6.500000e-01,1.589011e+00,3.294041e-03
7.000000e-01,1.456319e+00,3.553093e-03
7.500000e-01,1.313034e+00,3.718325e-03
8.000000e-01,1.162649e+00,3.159202e-03
8.500000e-01,1.004082e+00,3.711068e-03
9.000000e-01,8.177838e-01,4.289750e-03
9.500000e-01,5.919945e-01,5.952866e-03
