rho,performance0,interval0,performance1,interval1
5.000000e-02,1.879390e+00,3.938434e-03,9.241150e-01,1.983082e-03
1.000000e-01,1.777852e+00,3.503425e-03,8.595459e-01,1.902018e-03
1.500000e-01,1.678091e+00,4.204296e-03,8.011731e-01,1.994769e-03
2.000000e-01,1.575448e+00,4.452639e-03,7.403880e-01,1.993460e-03
2.500000e-01,1.469400e+00,4.176832e-03,6.793111e-01,2.382117e-03
3.000000e-01,1.366829e+00,3.895922e-03,6.209442e-01,2.077803e-03
3.500000e-01,1.267302e+00,3.835695e-03,5.661791e-01,2.152403e-03
4.000000e-01,1.161785e+00,4.302626e-03,5.067722e-01,2.069952e-03
4.500000e-01,1.058195e+00,3.761622e-03,4.540387e-01,2.076657e-03
5.000000e-01,9.545232e-01,4.002819e-03,4.033632e-01,2.027826e-03
5.500000e-01,8.544278e-01,3.409189e-03,3.543409e-01,1.810739e-03
6.000000e-01,7.522422e-01,3.662097e-03,3.058715e-01,2.155432e-03
6.500000e-01,6.533639e-01,3.709176e-03,2.604773e-01,1.796769e-03
7.000000e-01,5.555083e-01,3.110968e-03,2.166141e-01,1.762303e-03
7.500000e-01,4.607263e-01,3.611203e-03,1.763687e-01,1.781243e-03
8.000000e-01,3.650243e-01,3.365120e-03,1.377931e-01,1.806899e-03
8.500000e-01,2.686619e-01,3.556306e-03,9.940251e-02,1.512069e-03
9.000000e-01,1.795802e-01,3.412193e-03,6.436686e-02,1.477192e-03
9.500000e-01,9.322696e-02,3.057308e-03,3.304913e-02,1.330732e-03
