rho,performance,interval
5.000000e-02,2.596694e+00,2.747568e-03

1.000000e-01,2.699548e+00,3.153834e-03

1.500000e-01,2.810560e+00,3.067811e-03

2.000000e-01,2.936161e+00,3.033082e-03

2.500000e-01,3.076333e+00,3.856362e-03

3.000000e-01,3.236118e+00,4.283336e-03

3.500000e-01,3.421486e+00,4.786305e-03

4.000000e-01,3.623739e+00,5.421900e-03

4.500000e-01,3.858775e+00,6.474971e-03

5.000000e-01,4.135338e+00,7.419454e-03

5.500000e-01,4.450349e+00,7.470077e-03

6.000000e-01,4.841438e+00,8.948670e-03

6.500000e-01,5.291936e+00,1.206283e-02

7.000000e-01,5.867518e+00,1.653078e-02

7.500000e-01,6.591943e+00,2.007618e-02

8.000000e-01,7.570192e+00,2.739615e-02

8.500000e-01,8.965964e+00,3.690269e-02

9.000000e-01,1.118593e+01,5.914044e-02

9.500000e-01,1.546783e+01,1.511299e-01

