rho,performance0,interval0,performance1,interval1
5.000000e-02,1.756778e+00,2.267187e-03,7.828192e-01,1.089694e-03
1.000000e-01,1.543069e+00,2.209959e-03,6.282405e-01,1.154157e-03
1.500000e-01,1.353732e+00,2.358304e-03,5.142690e-01,9.301533e-04
2.000000e-01,1.181424e+00,2.024606e-03,4.260265e-01,8.142654e-04
2.500000e-01,1.030861e+00,2.146517e-03,3.567829e-01,7.448510e-04
3.000000e-01,8.945024e-01,1.996981e-03,2.991500e-01,6.231987e-04
3.500000e-01,7.749071e-01,1.855228e-03,2.519174e-01,6.130341e-04
4.000000e-01,6.674201e-01,1.606753e-03,2.121857e-01,5.592608e-04
4.500000e-01,5.707037e-01,1.652928e-03,1.788596e-01,4.731183e-04
5.000000e-01,4.856444e-01,1.430790e-03,1.497530e-01,4.896074e-04
5.500000e-01,4.065927e-01,1.247775e-03,1.246870e-01,4.043390e-04
6.000000e-01,3.396237e-01,1.047068e-03,1.035697e-01,3.536781e-04
6.500000e-01,2.769328e-01,1.198717e-03,8.416829e-02,3.871659e-04
7.000000e-01,2.216792e-01,1.079268e-03,6.736381e-02,3.365318e-04
7.500000e-01,1.727988e-01,9.048779e-04,5.307591e-02,2.971521e-04
8.000000e-01,1.281012e-01,8.263855e-04,3.955169e-02,2.924846e-04
8.500000e-01,8.872732e-02,7.310702e-04,2.759231e-02,2.504615e-04
9.000000e-01,5.516339e-02,6.503177e-04,1.746073e-02,2.512856e-04
9.500000e-01,2.546984e-02,5.176222e-04,8.309118e-03,1.996574e-04
