rho,performance,interval
5.000000e-02,1.933919e+00,3.756762e-03
1.000000e-01,1.864277e+00,4.231467e-03
1.500000e-01,1.794509e+00,4.071402e-03
2.000000e-01,1.720933e+00,3.993251e-03
2.500000e-01,1.645411e+00,3.791449e-03
3.000000e-01,1.575600e+00,3.971163e-03
3.500000e-01,1.503964e+00,3.982726e-03
4.000000e-01,1.429605e+00,3.714710e-03
4.500000e-01,1.355133e+00,3.596765e-03
5.000000e-01,1.280804e+00,3.215408e-03
5.500000e-01,1.193079e+00,4.158791e-03
6.000000e-01,1.116606e+00,3.726949e-03
6.500000e-01,1.029959e+00,4.593666e-03
7.000000e-01,9.502409e-01,4.506755e-03
7.500000e-01,8.574190e-01,4.231117e-03
8.000000e-01,7.598790e-01,4.511037e-03
8.500000e-01,6.639106e-01,4.237191e-03
9.000000e-01,5.490894e-01,5.298546e-03
9.500000e-01,4.099182e-01,5.808234e-03
