rho,performance,interval
5.000000e-02,1.228343e+00,1.751859e-03
1.000000e-01,1.267503e+00,2.023433e-03
1.500000e-01,1.315747e+00,2.014618e-03
2.000000e-01,1.367149e+00,2.244804e-03
2.500000e-01,1.422988e+00,2.336349e-03
3.000000e-01,1.486820e+00,2.666702e-03
3.500000e-01,1.555416e+00,3.169389e-03
4.000000e-01,1.629221e+00,3.732242e-03
4.500000e-01,1.716852e+00,3.445416e-03
5.000000e-01,1.814584e+00,3.798402e-03
5.500000e-01,1.928222e+00,4.675738e-03
6.000000e-01,2.066474e+00,5.183620e-03
6.500000e-01,2.223198e+00,7.611630e-03
7.000000e-01,2.421013e+00,7.949282e-03
7.500000e-01,2.669655e+00,1.117602e-02
8.000000e-01,2.984081e+00,1.597070e-02
8.500000e-01,3.420054e+00,2.011152e-02
9.000000e-01,4.175630e+00,3.325406e-02
9.500000e-01,5.693445e+00,8.247720e-02
