rho,performance,interval
5.000000e-02,1.849926e+00,2.668437e-03
1.000000e-01,1.929196e+00,2.958634e-03
1.500000e-01,2.007947e+00,3.357044e-03
2.000000e-01,2.101778e+00,3.785408e-03
2.500000e-01,2.200615e+00,3.597357e-03
3.000000e-01,2.307224e+00,4.488743e-03
3.500000e-01,2.429788e+00,5.079334e-03
4.000000e-01,2.566104e+00,5.829463e-03
4.500000e-01,2.718904e+00,6.368298e-03
5.000000e-01,2.908720e+00,7.089608e-03
5.500000e-01,3.116657e+00,8.202620e-03
6.000000e-01,3.366360e+00,9.634096e-03
6.500000e-01,3.662953e+00,1.238526e-02
7.000000e-01,4.041889e+00,1.489263e-02
7.500000e-01,4.516676e+00,1.806965e-02
8.000000e-01,5.106178e+00,2.622467e-02
8.500000e-01,6.030862e+00,3.972203e-02
9.000000e-01,7.410332e+00,5.742973e-02
9.500000e-01,1.029718e+01,1.585399e-01
