rho,performance,interval
5.000000e-02,2.587319e+00,2.809984e-03
1.000000e-01,2.691581e+00,3.306192e-03
1.500000e-01,2.805708e+00,3.189091e-03
2.000000e-01,2.927591e+00,3.624837e-03
2.500000e-01,3.066004e+00,4.743681e-03
3.000000e-01,3.222543e+00,5.512064e-03
3.500000e-01,3.395676e+00,5.692409e-03
4.000000e-01,3.597751e+00,5.118064e-03
4.500000e-01,3.818495e+00,7.155684e-03
5.000000e-01,4.079996e+00,8.474577e-03
5.500000e-01,4.387670e+00,8.757518e-03
6.000000e-01,4.753962e+00,1.054215e-02
6.500000e-01,5.184084e+00,1.210141e-02
7.000000e-01,5.725595e+00,1.706452e-02
7.500000e-01,6.420390e+00,1.863634e-02
8.000000e-01,7.324850e+00,2.562995e-02
8.500000e-01,8.669913e+00,4.118954e-02
9.000000e-01,1.060667e+01,5.870562e-02
9.500000e-01,1.474604e+01,1.461467e-01
