rho,performance,interval
5.000000e-02,2.915607e+00,3.846591e-03
1.000000e-01,2.809543e+00,3.874590e-03
1.500000e-01,2.713074e+00,4.096897e-03
2.000000e-01,2.616907e+00,4.181299e-03
2.500000e-01,2.519557e+00,3.883042e-03
3.000000e-01,2.419976e+00,4.430205e-03
3.500000e-01,2.314961e+00,3.801279e-03
4.000000e-01,2.214317e+00,4.111823e-03
4.500000e-01,2.103358e+00,4.587546e-03
5.000000e-01,1.997671e+00,4.156122e-03
5.500000e-01,1.888192e+00,4.144796e-03
6.000000e-01,1.767277e+00,4.885263e-03
6.500000e-01,1.651721e+00,4.479841e-03
7.000000e-01,1.526609e+00,3.769429e-03
7.500000e-01,1.392028e+00,5.219239e-03
8.000000e-01,1.251637e+00,5.141711e-03
8.500000e-01,1.094140e+00,5.357380e-03
9.000000e-01,9.152480e-01,5.882590e-03
9.500000e-01,6.941515e-01,7.870449e-03
