rho,performance,interval
5.000000e-02,2.921880e+00,5.076661e-03
1.000000e-01,2.815391e+00,5.350713e-03
1.500000e-01,2.721070e+00,4.352804e-03
2.000000e-01,2.628806e+00,4.148584e-03
2.500000e-01,2.529627e+00,4.911795e-03
3.000000e-01,2.424804e+00,5.594358e-03
3.500000e-01,2.320089e+00,5.095933e-03
4.000000e-01,2.214018e+00,4.556597e-03
4.500000e-01,2.107537e+00,4.992236e-03
5.000000e-01,2.000029e+00,4.535618e-03
5.500000e-01,1.889725e+00,4.140722e-03
6.000000e-01,1.770378e+00,4.706240e-03
6.500000e-01,1.650158e+00,5.256602e-03
7.000000e-01,1.527054e+00,5.462066e-03
7.500000e-01,1.393903e+00,5.682611e-03
8.000000e-01,1.250560e+00,5.897536e-03
8.500000e-01,1.096464e+00,6.878525e-03
9.000000e-01,9.126069e-01,6.840852e-03
9.500000e-01,6.862542e-01,8.875273e-03
