rho,performance,interval
5.000000e-02,2.907215e+00,3.852409e-03
1.000000e-01,2.811624e+00,3.756553e-03
1.500000e-01,2.701667e+00,4.189130e-03
2.000000e-01,2.586955e+00,3.834726e-03
2.500000e-01,2.473650e+00,4.160414e-03
3.000000e-01,2.352131e+00,4.227045e-03
3.500000e-01,2.225352e+00,4.566008e-03
4.000000e-01,2.104697e+00,3.866690e-03
4.500000e-01,1.974121e+00,4.313958e-03
5.000000e-01,1.841190e+00,4.341784e-03
5.500000e-01,1.709508e+00,4.815515e-03
6.000000e-01,1.569604e+00,5.022605e-03
6.500000e-01,1.434667e+00,5.250733e-03
7.000000e-01,1.287547e+00,5.097237e-03
7.500000e-01,1.151011e+00,5.193209e-03
8.000000e-01,9.975516e-01,5.790264e-03
8.500000e-01,8.389619e-01,6.025686e-03
9.000000e-01,6.597691e-01,6.786939e-03
9.500000e-01,4.403485e-01,8.393560e-03
