rho,performance,interval
5.000000e-02,2.903458e+00,3.140253e-03
1.000000e-01,2.816597e+00,2.974071e-03
1.500000e-01,2.720664e+00,3.161058e-03
2.000000e-01,2.619499e+00,2.916166e-03
2.500000e-01,2.507847e+00,2.931222e-03
3.000000e-01,2.397784e+00,2.943144e-03
3.500000e-01,2.279875e+00,3.043615e-03
4.000000e-01,2.153778e+00,3.184120e-03
4.500000e-01,2.022202e+00,3.084790e-03
5.000000e-01,1.890516e+00,3.580835e-03
5.500000e-01,1.744601e+00,3.442112e-03
6.000000e-01,1.602682e+00,3.827604e-03
6.500000e-01,1.445317e+00,3.343009e-03
7.000000e-01,1.293786e+00,3.209657e-03
7.500000e-01,1.137703e+00,3.959441e-03
8.000000e-01,9.761116e-01,3.650389e-03
8.500000e-01,8.063075e-01,3.922421e-03
9.000000e-01,6.302784e-01,3.972474e-03
9.500000e-01,4.301556e-01,4.981727e-03
