rho,performance,interval
5.000000e-02,2.918134e+00,4.150400e-03
1.000000e-01,2.828016e+00,4.516569e-03
1.500000e-01,2.724307e+00,4.158913e-03
2.000000e-01,2.621902e+00,4.292506e-03
2.500000e-01,2.519018e+00,4.148172e-03
3.000000e-01,2.410903e+00,4.324051e-03
3.500000e-01,2.304634e+00,4.686072e-03
4.000000e-01,2.200295e+00,5.046177e-03
4.500000e-01,2.087923e+00,4.192280e-03
5.000000e-01,1.975487e+00,4.137203e-03
5.500000e-01,1.859136e+00,4.519161e-03
6.000000e-01,1.734772e+00,4.334190e-03
6.500000e-01,1.612703e+00,5.492979e-03
7.000000e-01,1.480899e+00,4.850905e-03
7.500000e-01,1.343210e+00,5.643650e-03
8.000000e-01,1.202013e+00,6.376795e-03
8.500000e-01,1.048951e+00,6.152149e-03
9.000000e-01,8.597791e-01,6.823557e-03
9.500000e-01,6.328642e-01,8.937392e-03
