rho,performance,interval
5.000000e-02,1.232948e+00,1.636934e-03
1.000000e-01,1.274867e+00,1.703987e-03
1.500000e-01,1.326775e+00,2.058900e-03
2.000000e-01,1.385600e+00,2.065950e-03
2.500000e-01,1.449091e+00,2.432447e-03
3.000000e-01,1.523972e+00,2.744976e-03
3.500000e-01,1.610833e+00,3.306731e-03
4.000000e-01,1.703139e+00,3.116386e-03
4.500000e-01,1.815859e+00,3.983947e-03
5.000000e-01,1.946999e+00,4.581758e-03
5.500000e-01,2.097106e+00,5.942551e-03
6.000000e-01,2.284163e+00,7.335960e-03
6.500000e-01,2.499194e+00,9.093078e-03
7.000000e-01,2.784934e+00,1.104293e-02
7.500000e-01,3.115675e+00,1.417082e-02
8.000000e-01,3.596173e+00,2.070129e-02
8.500000e-01,4.277965e+00,3.073661e-02
9.000000e-01,5.448082e+00,5.869720e-02
9.500000e-01,8.219463e+00,1.637475e-01
