rho,performance,interval
5.000000e-02,1.925581e+00,2.038057e-03
1.000000e-01,1.852227e+00,2.164644e-03
1.500000e-01,1.779060e+00,1.939506e-03
2.000000e-01,1.702951e+00,1.758402e-03
2.500000e-01,1.625377e+00,2.035118e-03
3.000000e-01,1.545131e+00,2.046848e-03
3.500000e-01,1.461427e+00,2.048090e-03
4.000000e-01,1.379870e+00,2.062267e-03
4.500000e-01,1.295842e+00,2.176661e-03
5.000000e-01,1.209191e+00,2.167652e-03
5.500000e-01,1.123589e+00,1.881465e-03
6.000000e-01,1.032842e+00,1.906401e-03
6.500000e-01,9.449604e-01,2.155117e-03
7.000000e-01,8.523241e-01,2.411552e-03
7.500000e-01,7.586833e-01,2.314327e-03
8.000000e-01,6.607072e-01,2.380017e-03
8.500000e-01,5.579081e-01,2.297731e-03
9.000000e-01,4.473089e-01,2.340167e-03
9.500000e-01,3.240339e-01,3.116044e-03
