rho,performance0,interval0,performance1,interval1
5.000000e-02,1.886299e+00,3.046826e-03,9.179963e-01,1.469914e-03
1.000000e-01,1.763535e+00,2.726482e-03,8.374484e-01,1.583977e-03
1.500000e-01,1.645371e+00,2.633442e-03,7.630977e-01,1.447944e-03
2.000000e-01,1.529486e+00,2.793700e-03,6.935987e-01,1.365364e-03
2.500000e-01,1.419007e+00,2.774152e-03,6.274876e-01,1.469337e-03
3.000000e-01,1.303684e+00,2.999224e-03,5.649129e-01,1.278213e-03
3.500000e-01,1.199327e+00,2.568478e-03,5.078600e-01,1.378572e-03
4.000000e-01,1.087348e+00,2.795369e-03,4.511602e-01,1.286455e-03
4.500000e-01,9.836104e-01,2.698484e-03,3.993181e-01,1.116139e-03
5.000000e-01,8.833815e-01,2.554234e-03,3.511498e-01,1.137650e-03
5.500000e-01,7.825314e-01,2.669941e-03,3.058195e-01,1.249347e-03
6.000000e-01,6.823594e-01,2.589754e-03,2.603060e-01,1.183705e-03
6.500000e-01,5.875147e-01,2.411854e-03,2.214639e-01,1.155949e-03
7.000000e-01,4.945729e-01,2.419919e-03,1.830776e-01,9.936648e-04
7.500000e-01,4.049398e-01,2.460565e-03,1.475212e-01,1.039635e-03
8.000000e-01,3.191688e-01,2.207727e-03,1.140146e-01,1.060350e-03
8.500000e-01,2.337772e-01,2.318826e-03,8.273228e-02,9.624608e-04
9.000000e-01,1.520573e-01,1.886968e-03,5.297243e-02,7.756393e-04
9.500000e-01,7.656258e-02,1.919156e-03,2.645464e-02,7.842100e-04
