rho,performance,interval
5.000000e-02,2.887068e+00,2.431916e-03
1.000000e-01,2.783487e+00,2.374702e-03
1.500000e-01,2.684375e+00,2.473153e-03
2.000000e-01,2.580280e+00,2.626484e-03
2.500000e-01,2.461344e+00,2.458148e-03
3.000000e-01,2.337947e+00,2.650856e-03
3.500000e-01,2.209823e+00,2.698246e-03
4.000000e-01,2.070637e+00,2.774973e-03
4.500000e-01,1.928122e+00,2.570027e-03
5.000000e-01,1.782710e+00,2.766588e-03
5.500000e-01,1.631799e+00,2.819073e-03
6.000000e-01,1.475281e+00,3.030499e-03
6.500000e-01,1.315244e+00,2.637962e-03
7.000000e-01,1.158925e+00,2.554437e-03
7.500000e-01,1.003180e+00,2.762397e-03
8.000000e-01,8.420192e-01,2.943261e-03
8.500000e-01,6.871121e-01,2.762560e-03
9.000000e-01,5.213660e-01,3.265236e-03
9.500000e-01,3.504793e-01,3.445550e-03
