rho,performance,interval
5.000000e-02,2.594756e+00,3.670645e-03
1.000000e-01,2.694334e+00,4.367611e-03
1.500000e-01,2.803942e+00,4.334913e-03
2.000000e-01,2.916096e+00,4.736996e-03
2.500000e-01,3.048576e+00,5.000180e-03
3.000000e-01,3.187532e+00,6.326325e-03
3.500000e-01,3.339583e+00,5.399997e-03
4.000000e-01,3.516810e+00,7.257773e-03
4.500000e-01,3.716947e+00,8.116943e-03
5.000000e-01,3.943005e+00,8.954281e-03
5.500000e-01,4.218468e+00,1.044854e-02
6.000000e-01,4.517083e+00,1.269252e-02
6.500000e-01,4.878099e+00,1.580652e-02
7.000000e-01,5.338283e+00,1.556360e-02
7.500000e-01,5.893682e+00,2.032517e-02
8.000000e-01,6.665086e+00,3.027677e-02
8.500000e-01,7.724657e+00,4.356895e-02
9.000000e-01,9.321781e+00,6.597868e-02
9.500000e-01,1.256441e+01,1.498191e-01
