rho,performance0,interval0,performance1,interval1
5.000000e-02,2.660737e+00,5.555801e-03,5.411225e+00,1.163330e-02
1.000000e-01,2.812665e+00,5.548725e-03,5.817760e+00,1.289217e-02
1.500000e-01,2.980057e+00,7.452121e-03,6.241845e+00,1.553315e-02
2.000000e-01,3.174355e+00,9.003123e-03,6.754481e+00,1.823574e-02
2.500000e-01,3.403457e+00,9.674785e-03,7.362723e+00,2.572655e-02
3.000000e-01,3.658868e+00,1.043252e-02,8.054602e+00,2.724275e-02
3.500000e-01,3.946324e+00,1.196306e-02,8.834433e+00,3.375725e-02
4.000000e-01,4.305246e+00,1.598214e-02,9.870617e+00,4.039231e-02
4.500000e-01,4.726563e+00,1.676548e-02,1.101821e+01,5.038458e-02
5.000000e-01,5.240607e+00,2.212195e-02,1.240396e+01,6.324590e-02
5.500000e-01,5.854266e+00,2.330883e-02,1.412018e+01,7.201819e-02
6.000000e-01,6.650856e+00,3.238204e-02,1.636801e+01,1.172640e-01
6.500000e-01,7.659090e+00,4.367819e-02,1.921919e+01,1.332261e-01
7.000000e-01,9.008078e+00,5.070379e-02,2.312225e+01,1.896839e-01
7.500000e-01,1.086995e+01,8.692923e-02,2.842534e+01,2.914696e-01
8.000000e-01,1.372800e+01,1.278234e-01,3.645010e+01,4.866549e-01
8.500000e-01,1.869627e+01,2.517235e-01,5.060467e+01,7.803203e-01
9.000000e-01,2.809545e+01,5.207162e-01,7.881467e+01,1.945929e+00
9.500000e-01,5.532581e+01,2.078591e+00,1.589248e+02,7.846407e+00
