rho,performance0,interval0,performance1,interval1
5.000000e-02,1.872750e+00,3.472315e-03,9.149371e-01,1.907505e-03
1.000000e-01,1.753083e+00,4.110243e-03,8.374620e-01,1.990552e-03
1.500000e-01,1.633620e+00,3.639682e-03,7.629556e-01,2.085005e-03
2.000000e-01,1.516584e+00,3.696394e-03,6.909749e-01,2.014460e-03
2.500000e-01,1.403777e+00,4.149786e-03,6.263821e-01,2.218347e-03
3.000000e-01,1.289549e+00,3.233282e-03,5.639014e-01,1.965060e-03
3.500000e-01,1.182418e+00,3.622446e-03,5.019304e-01,1.805620e-03
4.000000e-01,1.075597e+00,3.684806e-03,4.475540e-01,1.791232e-03
4.500000e-01,9.648585e-01,3.691369e-03,3.949986e-01,1.636101e-03
5.000000e-01,8.603803e-01,3.260595e-03,3.453025e-01,1.521382e-03
5.500000e-01,7.561966e-01,3.221508e-03,2.959844e-01,1.826377e-03
6.000000e-01,6.557456e-01,3.252815e-03,2.534236e-01,1.477590e-03
6.500000e-01,5.621248e-01,3.347190e-03,2.145694e-01,1.648583e-03
7.000000e-01,4.682654e-01,2.891241e-03,1.742097e-01,1.506512e-03
7.500000e-01,3.766782e-01,3.124401e-03,1.387896e-01,1.337002e-03
8.000000e-01,2.920497e-01,2.631435e-03,1.064195e-01,1.225518e-03
8.500000e-01,2.106756e-01,3.067537e-03,7.591409e-02,1.317778e-03
9.000000e-01,1.348737e-01,2.647229e-03,4.829283e-02,1.083942e-03
9.500000e-01,6.400927e-02,2.491890e-03,2.309125e-02,1.015608e-03
