rho,performance0,interval0,performance1,interval1
5.000000e-02,1.903147e+00,5.925214e-03,1.896966e+00,4.743967e-03
1.000000e-01,1.801288e+00,4.757522e-03,1.789425e+00,5.842542e-03
1.500000e-01,1.694422e+00,5.244765e-03,1.688322e+00,5.496533e-03
2.000000e-01,1.587382e+00,5.366889e-03,1.588448e+00,4.991478e-03
2.500000e-01,1.490240e+00,5.552362e-03,1.491030e+00,5.168897e-03
3.000000e-01,1.392321e+00,4.961581e-03,1.393405e+00,4.819733e-03
3.500000e-01,1.291961e+00,5.827093e-03,1.289340e+00,5.199911e-03
4.000000e-01,1.192768e+00,4.787489e-03,1.196751e+00,4.864244e-03
4.500000e-01,1.093117e+00,5.015772e-03,1.099158e+00,4.998705e-03
5.000000e-01,9.983038e-01,5.194801e-03,1.001374e+00,5.536881e-03
5.500000e-01,9.022915e-01,4.996592e-03,9.065398e-01,4.331648e-03
6.000000e-01,8.056616e-01,4.614726e-03,8.098834e-01,4.721953e-03
6.500000e-01,7.113104e-01,4.793222e-03,7.074438e-01,5.103495e-03
7.000000e-01,6.140807e-01,4.592995e-03,6.193775e-01,4.719091e-03
7.500000e-01,5.264032e-01,4.665350e-03,5.283754e-01,4.803791e-03
8.000000e-01,4.272306e-01,4.751870e-03,4.277094e-01,4.914219e-03
8.500000e-01,3.288134e-01,4.727840e-03,3.335868e-01,5.079539e-03
9.000000e-01,2.349985e-01,4.735497e-03,2.366158e-01,4.925306e-03
9.500000e-01,1.259198e-01,5.627629e-03,1.265763e-01,5.590676e-03
