rho,performance,interval
5.000000e-02,1.711361e+00,2.983219e-03
1.000000e-01,1.776117e+00,3.378121e-03
1.500000e-01,1.837634e+00,2.934028e-03
2.000000e-01,1.902126e+00,3.000091e-03
2.500000e-01,1.976769e+00,3.844201e-03
3.000000e-01,2.062304e+00,4.738620e-03
3.500000e-01,2.155356e+00,4.711495e-03
4.000000e-01,2.258584e+00,4.653109e-03
4.500000e-01,2.372780e+00,5.620977e-03
5.000000e-01,2.500294e+00,5.661867e-03
5.500000e-01,2.646214e+00,5.784379e-03
6.000000e-01,2.824767e+00,7.469403e-03
6.500000e-01,3.030803e+00,9.622376e-03
7.000000e-01,3.275361e+00,1.176215e-02
7.500000e-01,3.588587e+00,1.462399e-02
8.000000e-01,4.000509e+00,1.893643e-02
8.500000e-01,4.564763e+00,2.879466e-02
9.000000e-01,5.486821e+00,4.151999e-02
9.500000e-01,7.318032e+00,9.660951e-02
