rho,performance,interval
5.000000e-02,1.933385e+00,1.601281e-03
1.000000e-01,1.832894e+00,1.713034e-03
1.500000e-01,1.729078e+00,1.494288e-03
2.000000e-01,1.622044e+00,1.729648e-03
2.500000e-01,1.511970e+00,1.960842e-03
3.000000e-01,1.399616e+00,1.704507e-03
3.500000e-01,1.283045e+00,1.616054e-03
4.000000e-01,1.169851e+00,1.589115e-03
4.500000e-01,1.060230e+00,1.946355e-03
5.000000e-01,9.517080e-01,1.602210e-03
5.500000e-01,8.469365e-01,1.778389e-03
6.000000e-01,7.483225e-01,1.634398e-03
6.500000e-01,6.541287e-01,1.655300e-03
7.000000e-01,5.632128e-01,1.347048e-03
7.500000e-01,4.786149e-01,1.678398e-03
8.000000e-01,3.982499e-01,1.454333e-03
8.500000e-01,3.210905e-01,1.299812e-03
9.000000e-01,2.471055e-01,1.250852e-03
9.500000e-01,1.694431e-01,1.360493e-03
