rho,performance,interval
5.000000e-02,2.586181e+00,4.335449e-03
1.000000e-01,2.680719e+00,4.029298e-03
1.500000e-01,2.789260e+00,5.460591e-03
2.000000e-01,2.900337e+00,5.186926e-03
2.500000e-01,3.029214e+00,5.380641e-03
3.000000e-01,3.172013e+00,5.938903e-03
3.500000e-01,3.331547e+00,7.785388e-03
4.000000e-01,3.508672e+00,8.362553e-03
4.500000e-01,3.709238e+00,7.995826e-03
5.000000e-01,3.935643e+00,1.074987e-02
5.500000e-01,4.207795e+00,1.202997e-02
6.000000e-01,4.522759e+00,1.418897e-02
6.500000e-01,4.868534e+00,1.402245e-02
7.000000e-01,5.330671e+00,1.907832e-02
7.500000e-01,5.903800e+00,2.431445e-02
8.000000e-01,6.670160e+00,2.959958e-02
8.500000e-01,7.688502e+00,4.528708e-02
9.000000e-01,9.366964e+00,7.314029e-02
9.500000e-01,1.260762e+01,1.703602e-01
