rho,performance,interval
5.000000e-02,1.724944e+00,1.830494e-03
1.000000e-01,1.781362e+00,1.974810e-03
1.500000e-01,1.843771e+00,2.399481e-03
2.000000e-01,1.914320e+00,2.187480e-03
2.500000e-01,1.988336e+00,2.792429e-03
3.000000e-01,2.076680e+00,2.932727e-03
3.500000e-01,2.170520e+00,3.167104e-03
4.000000e-01,2.279608e+00,3.347062e-03
4.500000e-01,2.406246e+00,3.737740e-03
5.000000e-01,2.539648e+00,4.584298e-03
5.500000e-01,2.709414e+00,5.565237e-03
6.000000e-01,2.899284e+00,5.721122e-03
6.500000e-01,3.128159e+00,6.205583e-03
7.000000e-01,3.412019e+00,8.162432e-03
7.500000e-01,3.776727e+00,1.055598e-02
8.000000e-01,4.253306e+00,1.342317e-02
8.500000e-01,4.910530e+00,2.103317e-02
9.000000e-01,6.001073e+00,3.838493e-02
9.500000e-01,8.218823e+00,7.978553e-02
