rho,performance,interval
5.000000e-02,1.722136e+00,1.865398e-03
1.000000e-01,1.775243e+00,1.875039e-03
1.500000e-01,1.837851e+00,2.138446e-03
2.000000e-01,1.908823e+00,2.122885e-03
2.500000e-01,1.993812e+00,2.330816e-03
3.000000e-01,2.085340e+00,2.559608e-03
3.500000e-01,2.193203e+00,2.927743e-03
4.000000e-01,2.321632e+00,3.431731e-03
4.500000e-01,2.472701e+00,3.772638e-03
5.000000e-01,2.645025e+00,5.017352e-03
5.500000e-01,2.866272e+00,5.648449e-03
6.000000e-01,3.120231e+00,7.464823e-03
6.500000e-01,3.459925e+00,8.003517e-03
7.000000e-01,3.865241e+00,9.602251e-03
7.500000e-01,4.396190e+00,1.527054e-02
8.000000e-01,5.124206e+00,1.910641e-02
8.500000e-01,6.204906e+00,3.030924e-02
9.000000e-01,7.941135e+00,5.010568e-02
9.500000e-01,1.166363e+01,1.342332e-01
