rho,performance0,interval0,performance1,interval1
5.000000e-02,2.701290e+00,4.343289e-03,2.700589e+00,4.072742e-03
1.000000e-01,2.914980e+00,4.421335e-03,2.913973e+00,4.418825e-03
1.500000e-01,3.157914e+00,4.235055e-03,3.151207e+00,5.582599e-03
2.000000e-01,3.416153e+00,6.009291e-03,3.417608e+00,6.238343e-03
2.500000e-01,3.716888e+00,7.087999e-03,3.716342e+00,7.102897e-03
3.000000e-01,4.048667e+00,7.392940e-03,4.060306e+00,6.967003e-03
3.500000e-01,4.434388e+00,9.676244e-03,4.453976e+00,9.804307e-03
4.000000e-01,4.880949e+00,1.205415e-02,4.905330e+00,1.058128e-02
4.500000e-01,5.398383e+00,1.370191e-02,5.422900e+00,1.282219e-02
5.000000e-01,6.015110e+00,1.741612e-02,6.053858e+00,1.876159e-02
5.500000e-01,6.778986e+00,2.201227e-02,6.804534e+00,1.873052e-02
6.000000e-01,7.710434e+00,2.672702e-02,7.739981e+00,2.992297e-02
6.500000e-01,8.857307e+00,2.947460e-02,8.854478e+00,3.181780e-02
7.000000e-01,1.040999e+01,4.489705e-02,1.044634e+01,4.012472e-02
7.500000e-01,1.250378e+01,5.741569e-02,1.252810e+01,6.355744e-02
8.000000e-01,1.559998e+01,1.096512e-01,1.561014e+01,1.158663e-01
8.500000e-01,2.046237e+01,1.493375e-01,2.048575e+01,1.529650e-01
9.000000e-01,3.050957e+01,3.915200e-01,3.051437e+01,3.928264e-01
9.500000e-01,5.925849e+01,1.550144e+00,5.934183e+01,1.566741e+00
