rho,performance,interval
5.000000e-02,2.930940e+00,5.431048e-03
1.000000e-01,2.833540e+00,6.253770e-03
1.500000e-01,2.735168e+00,5.451036e-03
2.000000e-01,2.639165e+00,5.786676e-03
2.500000e-01,2.530357e+00,5.535247e-03
3.000000e-01,2.435317e+00,6.278859e-03
3.500000e-01,2.326329e+00,5.224021e-03
4.000000e-01,2.226335e+00,5.596000e-03
4.500000e-01,2.117321e+00,6.366700e-03
5.000000e-01,2.008846e+00,5.685789e-03
5.500000e-01,1.892897e+00,5.965231e-03
6.000000e-01,1.783221e+00,6.174595e-03
6.500000e-01,1.657055e+00,7.096122e-03
7.000000e-01,1.532294e+00,6.217849e-03
7.500000e-01,1.406302e+00,7.818783e-03
8.000000e-01,1.254459e+00,7.098044e-03
8.500000e-01,1.103701e+00,8.036610e-03
9.000000e-01,9.266077e-01,7.891423e-03
9.500000e-01,6.928364e-01,1.075889e-02
