rho,performance0,interval0,performance1,interval1
5.000000e-02,2.661657e+00,3.911199e-03,2.662909e+00,4.432959e-03
1.000000e-01,2.857446e+00,5.069133e-03,2.857676e+00,5.524701e-03
1.500000e-01,3.069062e+00,5.678054e-03,3.069434e+00,5.918701e-03
2.000000e-01,3.311256e+00,7.074270e-03,3.303756e+00,5.475772e-03
2.500000e-01,3.579934e+00,6.759550e-03,3.570905e+00,7.727448e-03
3.000000e-01,3.882549e+00,9.053140e-03,3.869743e+00,8.151651e-03
3.500000e-01,4.227151e+00,1.031629e-02,4.218062e+00,1.015924e-02
4.000000e-01,4.633628e+00,1.145158e-02,4.626906e+00,1.258200e-02
4.500000e-01,5.102189e+00,1.395523e-02,5.086166e+00,1.291566e-02
5.000000e-01,5.633319e+00,1.696117e-02,5.620255e+00,1.722220e-02
5.500000e-01,6.299125e+00,2.125607e-02,6.290142e+00,2.234819e-02
6.000000e-01,7.132073e+00,2.529499e-02,7.118954e+00,2.646375e-02
6.500000e-01,8.163805e+00,3.428618e-02,8.158504e+00,3.277205e-02
7.000000e-01,9.477301e+00,4.676170e-02,9.505862e+00,4.979514e-02
7.500000e-01,1.131729e+01,6.855293e-02,1.130130e+01,6.502974e-02
8.000000e-01,1.403037e+01,7.902764e-02,1.402480e+01,8.470807e-02
8.500000e-01,1.828178e+01,1.556185e-01,1.821696e+01,1.624760e-01
9.000000e-01,2.627168e+01,3.440173e-01,2.626739e+01,3.516164e-01
9.500000e-01,5.025887e+01,1.429439e+00,5.026104e+01,1.442795e+00
