rho,performance,interval
5.000000e-02,1.721578e+00,1.670276e-03
1.000000e-01,1.774573e+00,1.815318e-03
1.500000e-01,1.836498e+00,2.134908e-03
2.000000e-01,1.906043e+00,2.152555e-03
2.500000e-01,1.982004e+00,2.457520e-03
3.000000e-01,2.069400e+00,2.782258e-03
3.500000e-01,2.162955e+00,2.549554e-03
4.000000e-01,2.273267e+00,3.505775e-03
4.500000e-01,2.399716e+00,3.457575e-03
5.000000e-01,2.540379e+00,3.917515e-03
5.500000e-01,2.711050e+00,4.548863e-03
6.000000e-01,2.904770e+00,5.672874e-03
6.500000e-01,3.146960e+00,6.532573e-03
7.000000e-01,3.433839e+00,8.358422e-03
7.500000e-01,3.808763e+00,1.079740e-02
8.000000e-01,4.301336e+00,1.159609e-02
8.500000e-01,4.981434e+00,1.847829e-02
9.000000e-01,6.118414e+00,3.204765e-02
9.500000e-01,8.468170e+00,8.566726e-02
