rho,performance,interval
5.000000e-02,1.853558e+00,3.598709e-03
1.000000e-01,1.922868e+00,4.369411e-03
1.500000e-01,1.997626e+00,4.535793e-03
2.000000e-01,2.083044e+00,4.833619e-03
2.500000e-01,2.178649e+00,5.016631e-03
3.000000e-01,2.275241e+00,5.740522e-03
3.500000e-01,2.383655e+00,6.322114e-03
4.000000e-01,2.507621e+00,6.529759e-03
4.500000e-01,2.645448e+00,7.039931e-03
5.000000e-01,2.798918e+00,7.033152e-03
5.500000e-01,3.005167e+00,1.046319e-02
6.000000e-01,3.210900e+00,1.070480e-02
6.500000e-01,3.481796e+00,1.543234e-02
7.000000e-01,3.774140e+00,1.775102e-02
7.500000e-01,4.182921e+00,2.049688e-02
8.000000e-01,4.721203e+00,2.807461e-02
8.500000e-01,5.404449e+00,3.472831e-02
9.000000e-01,6.543788e+00,6.495722e-02
9.500000e-01,8.788502e+00,1.228845e-01
