rho,performance0,interval0,performance1,interval1
5.000000e-02,2.954284e+00,4.496365e-03,2.952576e+00,3.762162e-03
1.000000e-01,3.466589e+00,5.764735e-03,3.456350e+00,5.995421e-03
1.500000e-01,4.040974e+00,7.057026e-03,4.028644e+00,8.037868e-03
2.000000e-01,4.692746e+00,9.173160e-03,4.669975e+00,8.643786e-03
2.500000e-01,5.442955e+00,9.608643e-03,5.400523e+00,9.857043e-03
3.000000e-01,6.292901e+00,1.320247e-02,6.252378e+00,1.235947e-02
3.500000e-01,7.274009e+00,1.825132e-02,7.239542e+00,1.514380e-02
4.000000e-01,8.401603e+00,2.002286e-02,8.362699e+00,2.116325e-02
4.500000e-01,9.720936e+00,2.201538e-02,9.720409e+00,2.807174e-02
5.000000e-01,1.135040e+01,3.583288e-02,1.132350e+01,3.392355e-02
5.500000e-01,1.320836e+01,4.064835e-02,1.319794e+01,4.087242e-02
6.000000e-01,1.553703e+01,5.717297e-02,1.558682e+01,5.558593e-02
6.500000e-01,1.857417e+01,6.704752e-02,1.858395e+01,6.904137e-02
7.000000e-01,2.243561e+01,8.574012e-02,2.255821e+01,8.490609e-02
7.500000e-01,2.778801e+01,1.248100e-01,2.783886e+01,1.307908e-01
8.000000e-01,3.568405e+01,1.953470e-01,3.569068e+01,2.080184e-01
8.500000e-01,4.848380e+01,3.003965e-01,4.845133e+01,3.076125e-01
9.000000e-01,7.504802e+01,8.887686e-01,7.492022e+01,8.812733e-01
9.500000e-01,1.465519e+02,3.093391e+00,1.461807e+02,3.093695e+00
