rho,performance,interval
5.000000e-02,1.864927e+00,2.530876e-03
1.000000e-01,1.961979e+00,2.973711e-03
1.500000e-01,2.070618e+00,3.290876e-03
2.000000e-01,2.199686e+00,4.000429e-03
2.500000e-01,2.346384e+00,4.048213e-03
3.000000e-01,2.522404e+00,5.582084e-03
3.500000e-01,2.710078e+00,7.050733e-03
4.000000e-01,2.944036e+00,7.705983e-03
4.500000e-01,3.215383e+00,9.629012e-03
5.000000e-01,3.515656e+00,1.027839e-02
5.500000e-01,3.894302e+00,1.336942e-02
6.000000e-01,4.338278e+00,1.871658e-02
6.500000e-01,4.855871e+00,2.256545e-02
7.000000e-01,5.547839e+00,2.433761e-02
7.500000e-01,6.383421e+00,3.000541e-02
8.000000e-01,7.495775e+00,3.839852e-02
8.500000e-01,9.152321e+00,6.190978e-02
9.000000e-01,1.167421e+01,1.111043e-01
9.500000e-01,1.686311e+01,2.707049e-01
