rho,performance0,interval0,performance1,interval1
5.000000e-02,1.897721e+00,4.131859e-03,1.890947e+00,3.583938e-03
1.000000e-01,1.793405e+00,4.624540e-03,1.788221e+00,3.913294e-03
1.500000e-01,1.686615e+00,3.946007e-03,1.683181e+00,3.926268e-03
2.000000e-01,1.585623e+00,4.026122e-03,1.584005e+00,4.140161e-03
2.500000e-01,1.484127e+00,4.290238e-03,1.482056e+00,3.775640e-03
3.000000e-01,1.383936e+00,4.257414e-03,1.384069e+00,4.333050e-03
3.500000e-01,1.280908e+00,3.915579e-03,1.283922e+00,4.413823e-03
4.000000e-01,1.183891e+00,3.958496e-03,1.188348e+00,3.872526e-03
4.500000e-01,1.090129e+00,3.627692e-03,1.090568e+00,3.798082e-03
5.000000e-01,9.912017e-01,3.823858e-03,9.979257e-01,3.407757e-03
5.500000e-01,8.976497e-01,3.696974e-03,8.995287e-01,4.211986e-03
6.000000e-01,8.055182e-01,3.281511e-03,8.076025e-01,3.289079e-03
6.500000e-01,7.102348e-01,3.670214e-03,7.150217e-01,3.602205e-03
7.000000e-01,6.147429e-01,3.797978e-03,6.173061e-01,3.478957e-03
7.500000e-01,5.220929e-01,3.336663e-03,5.244885e-01,3.678465e-03
8.000000e-01,4.282265e-01,3.185305e-03,4.296792e-01,3.292187e-03
8.500000e-01,3.331219e-01,3.531427e-03,3.343186e-01,3.717221e-03
9.000000e-01,2.333990e-01,3.563605e-03,2.348232e-01,3.591429e-03
9.500000e-01,1.278388e-01,3.257669e-03,1.284009e-01,3.380153e-03
