rho,performance,interval
5.000000e-02,1.922034e+00,2.619690e-03
1.000000e-01,1.826979e+00,2.769114e-03
1.500000e-01,1.731133e+00,2.750814e-03
2.000000e-01,1.629591e+00,2.967856e-03
2.500000e-01,1.527695e+00,2.643600e-03
3.000000e-01,1.421158e+00,3.142198e-03
3.500000e-01,1.322806e+00,3.438868e-03
4.000000e-01,1.217687e+00,3.182176e-03
4.500000e-01,1.114988e+00,3.347205e-03
5.000000e-01,1.019743e+00,2.963859e-03
5.500000e-01,9.206713e-01,3.165136e-03
6.000000e-01,8.265967e-01,3.575852e-03
6.500000e-01,7.385461e-01,3.444435e-03
7.000000e-01,6.463883e-01,2.833194e-03
7.500000e-01,5.618213e-01,2.665713e-03
8.000000e-01,4.784947e-01,2.433279e-03
8.500000e-01,3.920849e-01,2.638066e-03
9.000000e-01,3.077314e-01,2.883292e-03
9.500000e-01,2.139163e-01,3.316235e-03
