rho,performance,interval
5.000000e-02,2.898728e+00,3.072149e-03
1.000000e-01,2.806930e+00,3.110662e-03
1.500000e-01,2.711952e+00,3.525135e-03
2.000000e-01,2.611981e+00,2.981898e-03
2.500000e-01,2.514793e+00,3.538635e-03
3.000000e-01,2.407813e+00,3.393234e-03
3.500000e-01,2.303722e+00,3.366018e-03
4.000000e-01,2.193481e+00,3.216404e-03
4.500000e-01,2.078055e+00,3.234218e-03
5.000000e-01,1.968941e+00,3.545137e-03
5.500000e-01,1.845618e+00,3.782041e-03
6.000000e-01,1.724736e+00,3.389102e-03
6.500000e-01,1.598546e+00,3.163577e-03
7.000000e-01,1.465624e+00,3.502117e-03
7.500000e-01,1.324163e+00,3.684061e-03
8.000000e-01,1.175858e+00,3.710954e-03
8.500000e-01,1.018703e+00,4.376342e-03
9.000000e-01,8.340565e-01,5.297236e-03
9.500000e-01,6.098395e-01,5.929835e-03
