rho,performance,interval
5.000000e-02,1.932561e+00,2.096960e-03
1.000000e-01,1.857716e+00,2.283572e-03
1.500000e-01,1.782141e+00,2.024686e-03
2.000000e-01,1.707956e+00,2.117429e-03
2.500000e-01,1.630887e+00,2.519988e-03
3.000000e-01,1.551687e+00,2.661038e-03
3.500000e-01,1.472568e+00,2.476818e-03
4.000000e-01,1.389830e+00,1.976421e-03
4.500000e-01,1.309535e+00,2.462454e-03
5.000000e-01,1.225628e+00,2.546562e-03
5.500000e-01,1.139674e+00,2.279043e-03
6.000000e-01,1.051887e+00,2.326717e-03
6.500000e-01,9.646262e-01,2.254716e-03
7.000000e-01,8.734720e-01,2.609995e-03
7.500000e-01,7.789384e-01,2.265988e-03
8.000000e-01,6.828227e-01,2.383676e-03
8.500000e-01,5.770415e-01,2.733301e-03
9.000000e-01,4.717753e-01,2.623958e-03
9.500000e-01,3.399238e-01,3.334350e-03
