rho,performance,interval
5.000000e-02,1.714986e+00,2.261741e-03
1.000000e-01,1.779736e+00,2.453732e-03
1.500000e-01,1.843036e+00,2.782076e-03
2.000000e-01,1.910778e+00,3.051805e-03
2.500000e-01,1.984597e+00,3.059814e-03
3.000000e-01,2.066315e+00,3.783234e-03
3.500000e-01,2.160015e+00,3.560946e-03
4.000000e-01,2.258233e+00,4.190618e-03
4.500000e-01,2.377442e+00,5.184137e-03
5.000000e-01,2.503193e+00,5.200050e-03
5.500000e-01,2.648363e+00,5.790748e-03
6.000000e-01,2.829768e+00,7.820509e-03
6.500000e-01,3.027720e+00,8.229319e-03
7.000000e-01,3.275749e+00,8.105438e-03
7.500000e-01,3.593188e+00,1.352455e-02
8.000000e-01,3.996510e+00,1.645452e-02
8.500000e-01,4.572612e+00,2.231059e-02
9.000000e-01,5.468837e+00,3.527894e-02
9.500000e-01,7.227814e+00,8.508031e-02
