rho,performance0,interval0,performance1,interval1
5.000000e-02,1.883814e+00,5.854701e-03,1.889786e+00,4.723395e-03
1.000000e-01,1.990203e+00,5.270008e-03,2.003588e+00,6.569405e-03
1.500000e-01,2.115864e+00,6.542466e-03,2.123568e+00,6.942702e-03
2.000000e-01,2.258647e+00,7.622084e-03,2.257042e+00,7.076376e-03
2.500000e-01,2.406029e+00,8.948915e-03,2.404639e+00,8.315610e-03
3.000000e-01,2.575164e+00,9.183854e-03,2.573114e+00,8.923795e-03
3.500000e-01,2.775750e+00,1.250591e-02,2.781102e+00,1.123143e-02
4.000000e-01,3.006254e+00,1.200468e-02,2.996286e+00,1.218246e-02
4.500000e-01,3.280752e+00,1.519435e-02,3.262689e+00,1.498528e-02
5.000000e-01,3.592881e+00,1.872186e-02,3.582167e+00,1.968379e-02
5.500000e-01,3.975584e+00,2.218305e-02,3.956148e+00,1.903129e-02
6.000000e-01,4.452660e+00,2.571231e-02,4.429561e+00,2.586853e-02
6.500000e-01,5.044925e+00,3.423628e-02,5.073417e+00,3.711633e-02
7.000000e-01,5.845303e+00,4.404368e-02,5.795540e+00,4.399742e-02
7.500000e-01,6.822998e+00,6.144100e-02,6.798334e+00,6.309644e-02
8.000000e-01,8.415998e+00,9.240143e-02,8.408050e+00,9.436316e-02
8.500000e-01,1.096090e+01,1.632646e-01,1.080974e+01,1.666092e-01
9.000000e-01,1.541621e+01,3.189807e-01,1.532119e+01,3.264829e-01
9.500000e-01,3.024481e+01,1.657666e+00,3.003698e+01,1.609879e+00
