rho,performance0,interval0,performance1,interval1
5.000000e-02,1.914083e+00,3.541363e-03,3.917957e+00,8.187181e-03
1.000000e-01,2.044850e+00,4.809501e-03,4.280557e+00,1.018111e-02
1.500000e-01,2.194356e+00,4.919296e-03,4.698798e+00,1.287988e-02
2.000000e-01,2.363755e+00,5.776129e-03,5.188421e+00,1.515700e-02
2.500000e-01,2.553891e+00,7.594301e-03,5.724031e+00,2.009622e-02
3.000000e-01,2.779936e+00,6.976962e-03,6.358208e+00,2.212409e-02
3.500000e-01,3.032050e+00,9.307057e-03,7.143393e+00,2.588241e-02
4.000000e-01,3.333374e+00,1.141715e-02,8.011909e+00,3.207143e-02
4.500000e-01,3.716227e+00,1.421225e-02,9.078174e+00,3.757415e-02
5.000000e-01,4.167474e+00,1.583725e-02,1.038535e+01,4.611504e-02
5.500000e-01,4.742074e+00,1.998505e-02,1.212172e+01,7.567655e-02
6.000000e-01,5.469373e+00,2.668604e-02,1.415577e+01,8.212827e-02
6.500000e-01,6.382169e+00,3.821316e-02,1.673022e+01,1.299421e-01
7.000000e-01,7.661971e+00,4.776703e-02,2.061455e+01,1.801419e-01
7.500000e-01,9.532786e+00,8.107042e-02,2.588823e+01,2.539810e-01
8.000000e-01,1.229860e+01,1.110663e-01,3.379594e+01,3.891835e-01
8.500000e-01,1.710774e+01,2.536196e-01,4.759590e+01,8.583802e-01
9.000000e-01,2.685035e+01,5.493956e-01,7.521907e+01,1.747404e+00
9.500000e-01,5.850765e+01,2.741583e+00,1.630485e+02,7.396496e+00
