rho,performance0,interval0,performance1,interval1
5.000000e-02,2.634694e+00,5.575820e-03,5.368730e+00,1.111020e-02
1.000000e-01,2.786528e+00,6.070894e-03,5.768755e+00,1.232763e-02
1.500000e-01,2.962955e+00,6.908747e-03,6.227924e+00,1.562103e-02
2.000000e-01,3.152349e+00,7.339130e-03,6.735459e+00,1.945209e-02
2.500000e-01,3.385058e+00,7.965287e-03,7.332237e+00,1.960253e-02
3.000000e-01,3.639636e+00,9.956417e-03,8.014290e+00,2.570472e-02
3.500000e-01,3.923267e+00,9.626580e-03,8.774408e+00,2.779086e-02
4.000000e-01,4.270735e+00,1.330017e-02,9.761340e+00,3.894570e-02
4.500000e-01,4.672637e+00,1.562628e-02,1.082716e+01,4.140101e-02
5.000000e-01,5.179261e+00,1.923651e-02,1.219029e+01,5.405316e-02
5.500000e-01,5.758998e+00,2.219061e-02,1.384024e+01,7.145700e-02
6.000000e-01,6.490366e+00,3.048258e-02,1.594996e+01,9.977579e-02
6.500000e-01,7.485304e+00,3.812987e-02,1.867644e+01,1.243204e-01
7.000000e-01,8.789367e+00,4.490428e-02,2.248380e+01,1.592502e-01
7.500000e-01,1.062834e+01,7.516410e-02,2.789858e+01,2.291615e-01
8.000000e-01,1.328032e+01,1.164460e-01,3.515220e+01,3.974040e-01
8.500000e-01,1.780149e+01,1.985682e-01,4.779475e+01,6.812522e-01
9.000000e-01,2.701911e+01,4.193154e-01,7.510599e+01,1.622952e+00
9.500000e-01,5.476292e+01,1.774005e+00,1.516033e+02,4.803131e+00
