rho,performance0,interval0,performance1,interval1
5.000000e-02,1.692558e+00,2.577568e-03,1.693507e+00,2.161800e-03
1.000000e-01,1.442443e+00,2.408786e-03,1.446725e+00,2.509874e-03
1.500000e-01,1.237422e+00,2.157516e-03,1.241240e+00,2.482041e-03
2.000000e-01,1.065579e+00,2.081904e-03,1.070764e+00,1.978349e-03
2.500000e-01,9.186921e-01,1.614734e-03,9.259157e-01,1.689019e-03
3.000000e-01,7.946360e-01,1.663650e-03,7.997762e-01,1.580918e-03
3.500000e-01,6.874903e-01,1.723288e-03,6.907295e-01,1.448708e-03
4.000000e-01,5.952118e-01,1.421188e-03,5.979919e-01,1.514979e-03
4.500000e-01,5.144218e-01,1.165368e-03,5.144927e-01,1.492357e-03
5.000000e-01,4.406275e-01,1.403754e-03,4.416612e-01,1.315465e-03
5.500000e-01,3.786404e-01,1.165735e-03,3.789404e-01,1.170497e-03
6.000000e-01,3.219250e-01,1.193603e-03,3.208889e-01,1.142280e-03
6.500000e-01,2.692813e-01,9.708403e-04,2.691453e-01,1.002286e-03
7.000000e-01,2.229438e-01,8.510991e-04,2.217299e-01,8.360520e-04
7.500000e-01,1.800270e-01,8.067334e-04,1.797076e-01,8.467644e-04
8.000000e-01,1.402268e-01,7.672048e-04,1.402152e-01,8.168147e-04
8.500000e-01,1.032289e-01,6.375199e-04,1.033027e-01,6.509233e-04
9.000000e-01,6.685853e-02,7.711385e-04,6.696819e-02,7.631011e-04
9.500000e-01,3.448455e-02,6.819954e-04,3.457278e-02,6.831356e-04
