rho,dynamic_loss,dynamic_activity,best_static_loss,best_static_activity,uniform_static_loss,uniform_static_activity
3.84,0.7395833479296879,0.9999999439499982,0.7395833359673855,0.9999999898852399,0.7395870129730617,0.9999858701834429
3.76,0.7340425713427168,0.9999999317513849,0.7340425563595943,0.9999999880879256,0.7340475945675237,0.9999810444261109
3.68,0.7282608922884505,0.9999999163785023,0.7282608733948824,0.9999999859068327,0.7282678825653661,0.9999741921594527
3.6,0.722222250870371,0.9999998968666646,0.7222222268762752,0.9999999832454092,0.722232141740587,0.9999642897338867
3.52,0.7159091272968116,0.9999998719152233,0.715909096596902,0.9999999799789048,0.7159233798627265,0.9999497028832028
3.44,0.709302372164062,0.9999998397556267,0.7093023325741505,0.9999999759449222,0.7093233244669372,0.9999277638337358
3.36,0.7023810125113397,0.9999997979618986,0.7023809610326325,0.9999999709303549,0.7024124957726302,0.9998940142039625
3.2800000000000002,0.6951220295195152,0.9999997431759903,0.69512196199598,0.9999999646531857,0.6951704822555888,0.9998408182016689
3.2,0.6875001029043172,0.9999996707061851,0.6875000135197444,0.9999999567368179,0.6875766356696279,0.9997547658571908
3.12,0.6794873160465851,0.9999995739346546,0.679487196579009,0.9999999466734919,0.6796116300640387,0.9996117142001993
3.04,0.6710528146592836,0.999999443435778,0.671052653364623,0.999999933771546,0.6712607970040065,0.9993671771078202
2.96,0.6621624102524646,0.9999992656527048,0.6621621901762283,0.9999999170783641,0.6625210820377586,0.9989375971682345
2.88,0.6527781177449746,0.999999020894473,0.6527778141436373,0.9999998952663245,0.6534151877485023,0.9981642592843134
2.8,0.642857614185203,0.9999986802814315,0.6428571905494774,0.9999998664614631,0.6440190457048094,0.9967466720265337
2.7199999999999998,0.6323536025537901,0.9999982010536907,0.6323530044183705,0.9999998279820321,0.6345103118273987,0.9941319518294754
2.6399999999999997,0.6212130608636459,0.9999975193199747,0.6212122060860927,0.999999775932715,0.6252373912398113,0.9893732871268982
2.56,0.6093763520353859,0.9999965387894122,0.6093751154050212,0.9999997045631457,0.6167701521380989,0.9810684105264668
2.48,0.5967761640405285,0.9999951131794894,0.5967743527284931,0.9999996052333371,0.6098201872961116,0.9676459355056432
2.4,0.5833362422343823,0.9999930186374825,0.5833335563715367,0.9999994647083118,0.6049258391572505,0.9481779860225987
2.3200000000000003,0.5689698662409967,0.9999899103208879,0.5689658352245709,0.9999992622789956,0.6020803422385614,0.9231736060065375
2.24,0.5535780117612228,0.999985253654861,0.5535718907268213,0.9999989647719203,0.6007380575671136,0.8943467510496655
2.16,0.5370471228905876,0.9999782145563307,0.5370377233127933,0.9999985176443665,0.6002217322340367,0.8635210583744807
2.08,0.51924640302517,0.9999674817076465,0.5192318131863509,0.9999978285723902,0.6000569988602895,0.8318814423705978
2.0,0.500024513602148,0.9999509727957041,0.5000016319542554,0.9999967360914892,0.6000126335924097,0.7999747328151805
1.92,0.4792055547095316,0.9999253349576994,0.47916929833419464,0.9999949471983463,0.6000024228617321,0.7679953481054743
1.8399999999999999,0.4565842038513709,0.9998850649134775,0.4565261372949627,0.9999919073772685,0.600000401933039,0.7359992604432081
1.7599999999999998,0.43191994497236064,0.9998208968486452,0.4318258435075311,0.9999865154267452,0.6000000574856027,0.7039998988253392
1.6800000000000002,0.4049305222711969,0.9997167225843892,0.40477591693671583,0.9999764595463176,0.6000000070468126,0.671999988161355
1.6,0.37528534595096835,0.9995434464784506,0.37502714794705,0.9999565632847202,0.6000000007343279,0.6399999988250754
1.52,0.3426012140917991,0.9992461545804654,0.34216162249877313,0.9999143338018649,0.6000000000643702,0.6079999999021574
1.44,0.3064471968467238,0.9987160365407178,0.3056827112224276,0.9998168958397042,0.6000000000046865,0.5759999999932515
1.3599999999999999,0.26637786590336254,0.9977261023714269,0.2650228611772531,0.9995689087989356,0.6000000000002786,0.543999999999621
1.2799999999999998,0.22204775548983785,0.9957788729730074,0.21963696563084592,0.9988646839925172,0.6000000000000132,0.511999999999983
1.1999999999999997,0.17354595147938748,0.9917448582247348,0.16946280325085641,0.9966446360989721,0.6000000000000004,0.47999999999999937
1.12,0.12225504881328529,0.9830743453291205,0.11670174954169292,0.989294040513304,0.6000000000000004,0.44799999999999957
1.04,0.07251497235828694,0.9645844287473816,0.06977752910402547,0.9674313697318135,0.6000000000000008,0.4159999999999992
0.96,0.03262454230840885,0.9286804393839275,0.04083685286792509,0.920796621246792,0.5999999999999994,0.38400000000000056
0.8799999999999999,0.00988063460101184,0.8713050415511094,0.029012260327606246,0.8544692109117064,0.600000000000002,0.3519999999999982
0.7999999999999998,0.001856450032958984,0.7985148399736326,0.024428231686380166,0.7804574146508957,0.6000000000000003,0.3199999999999997
0.7199999999999998,0.00020975369960446453,0.7198489773362846,0.02208320821926216,0.704100090082131,0.6000000000000019,0.28799999999999853
0.6400000000000001,1.3858582782452511e-05,0.6399911305070194,0.02059353768607841,0.6268201358809099,0.6000000000000002,0.2559999999999999
0.56,5.016695286596792e-07,0.559999719065064,0.019539353312419596,0.5490579621450451,0.6000000000000005,0.22399999999999973
0.48,8.799336522444937e-09,0.47999999577631847,0.01874777450731217,0.4710010682364902,0.5999999999999995,0.19200000000000023
0.3999999999999999,6.059720637738948e-11,0.399999999975761,0.01813084486620788,0.39274766205351674,0.6000000000000001,0.15999999999999992
0.31999999999999984,1.134564565346336e-13,0.31999999999996354,0.01763763900705126,0.3143559555177434,0.6000000000000002,0.12799999999999986
0.23999999999999977,2.862163197427741e-17,0.23999999999999977,0.017235990833945527,0.23586336219985285,0.6000000000000022,0.09599999999999938
0.16000000000000014,1.9847065857834314e-22,0.16000000000000014,0.016904254295846476,0.1572953193126647,0.6000000000000013,0.06399999999999985
0.08000000000000007,2.328513796312443e-31,0.08000000000000007,0.016627141765621148,0.07866982865875037,0.6000000000000013,0.031999999999999924
