S,L,R,G
11,0.9393460354438818,0.9190809190809192,0.9190809190809192
12,0.9114753308016378,0.8532466275031452,0.8529896327252272
13,0.9014530124815705,0.7990576362671,0.7980413950815445
14,0.9009811165389295,0.7540225197916892,0.7516958009311762
15,0.9055049893066089,0.7162852908446069,0.7121302206457789
16,0.9125002347584857,0.6844319812361166,0.6780000770730135
17,0.9205562145436438,0.6573664014168097,0.6482911808262218
18,0.928883511010111,0.6342273455350401,0.6222241524505215
19,0.9370446275211118,0.6143313807295968,0.5991903623497749
20,0.9448040053584789,0.5971319388146372,0.5787077936668654
21,0.9519984110783342,0.582189170934213,0.5603899218647957
22,0.9585496672949375,0.5691575142509757,0.5439233311766403
23,0.9644289217961406,0.5577530996917386,0.5290513312487299
24,0.9696359485057114,0.5477412079650855,0.5155617776544653
25,0.9741869216343411,0.5389265626119004,0.5032778902953099
26,0.9781070985719889,0.531145747621665,0.4920512438100438
27,0.9814264112924744,0.5242612395270609,0.48175635431449376
28,0.9841768117260757,0.5181566806399912,0.47228645474348074
29,0.9863906888094669,0.51273311502714,0.4635501658040104
30,0.9880999460362899,0.5079059764416604,0.4554688491921777
31,0.9893354876661807,0.5036026667109111,0.4479744858195196
32,0.9901268576886558,0.49976059971154396,0.4410079618320884
33,0.9905020633709921,0.49632562329934915,0.434517674136877
34,0.9904875143465192,0.49325072279747517,0.42845838829579824
35,0.9901080327674714,0.4904949504661723,0.4227902972669514
36,0.9893869058518191,0.48802253719989597,0.41747824112496984
37,0.9883459623786509,0.48580215185432657,0.4124910566651446
38,0.9870056613338252,0.4838062807371517,0.4078010324585128
39,0.985385185243537,0.48201070537492524,0.40338345002611126
40,0.9835025335657439,0.4803940610477674,0.39921619573602524
41,0.9813746133570781,0.4789374620321662,0.39527943108500807
42,0.9790173256321587,0.4776241822148177,0.3915553114190852
43,0.9764456463262856,0.47643938189545365,0.3880277450316193
44,0.9736737013442089,0.4753698732938831,0.38468218606997545
45,0.9707148355472388,0.4744039186196132,0.3815054558713718
46,0.9675816757650032,0.4735310556433595,0.3784855883015594
47,0.9642861880615894,0.472741946583034,0.375611695437635
48,0.9608397295691451,0.4720282468250289,0.37287385055771605
49,0.9572530952456374,0.47138249057836534,0.37026298590565077
50,0.9535365599315015,0.47079799103086056,0.3677708031119304
51,0.9496999160814849,0.47026875296373805,0.365389694490887
52,0.945752507539568,0.46978939610045245,0.363112673713545
53,0.9417032597104916,0.4693550877299856,0.36093331458657635
54,0.9375607064629072,0.4689614833647981,0.35884569685971623
55,0.9333330140787037,0.4686046743771079,0.35684435814397547
56,0.9290280025418115,0.4682811417107673,0.3549242511568107
57,0.9246531644386538,0.46798771489504615,0.3530807056227448
58,0.9202156817219201,0.46772153569537184,0.3513093942525206
59,0.9157224405697921,0.46748002582799786,0.34960630230378625
60,0.911180044554194,0.4672608582435455,0.3479677002940157
61,0.9065948263143172,0.46706193155064385,0.3463901194939103
62,0.9019728579153438,0.46688134720744723,0.3448703298785646
63,0.8973199600571197,0.46671738915715794,0.3434053202555768
64,0.8926417102833418,0.4665685056251335,0.3419922803251881
65,0.8879434503285444,0.4664332928307987,0.3406285844583708
66,0.8832302927278488,0.46631048039828255,0.33931177700533255
67,0.8785071268027842,0.4661989182762234,0.3380395589698294
68,0.8737786241257175,0.46609756500014227,0.33680977590449307
69,0.869049243555173,0.4660054771507046,0.33562040689957917
70,0.8643232359248456,0.46592179987850485,0.33446955455246896
71,0.8596046484600781,0.4658457583811044,0.3333554358182661
72,0.8548973289871564,0.4657766502312178,0.3322763736531761
73,0.8502049299928942,0.4657138384664667,0.33123078937227235
74,0.8455309125844845,0.4656567453612173,0.33021719565194224
75,0.8408785503927156,0.4656048468098757,0.3292341901149329
76,0.8362509334550929,0.4655576672588148,0.32828044944261225
77,0.8316509721094032,0.4655147751309655,0.32735472396497245
78,0.8270814009226285,0.4654757786931616,0.3264558326840982
79,0.8225447826749349,0.46544032232168275,0.32558265869143554
80,0.8180435124137221,0.4654080831261686,0.32473414494325703
81,0.813579821588353,0.46537876789627913,0.3239092903623409
82,0.8091557822722865,0.46535211033919555,0.3231071462370755
83,0.8047733114757673,0.4653278685793631,0.3223268128920579
84,0.8004341755490911,0.4653058228948242,0.32156743660679016
85,0.7961399946737273,0.4652857736671091,0.3208282067613382
86,0.7918922474361246,0.4652675395239852,0.3201083531898428
87,0.7876922754770254,0.4652509556564587,0.31940714372457346
88,0.7835412882073645,0.46523587229328184,0.3187238819148394
89,0.7794403675804363,0.4652221533178893,0.3180579049065184
90,0.7753904729089126,0.4652096750141768,0.31740858146926676
91,0.7713924457144615,0.4651983249288776,0.31677531015964505
92,0.7674470145971499,0.46518800083948936,0.31615751760944544
93,0.7635548001114824,0.46517860981778203,0.31555465692945706
94,0.7597163196357922,0.4651700673798843,0.31496620621975946
95,0.7559319922217961,0.4651622967148199,0.3143916671784067
96,0.7522021434113341,0.4651552279841362,0.3138305638010652
97,0.7485270100077235,0.46514879768599626,0.3132824411647975
98,0.7449067447896711,0.4651429480777041,0.31274686428975834
99,0.7413414211562952,0.4651376266512437,0.31222341707308954
100,0.7378310376925276,0.46513278565689686,0.3117117012897658
101,0.7343755226449566,0.46512838167049114,0.31121133565558046
102,0.7309747382989746,0.46512437520023636,0.31072195494784294
103,0.7276284852489932,0.46512073032949697,0.3102432091797144
104,0.7243365065543705,0.4651174143921825,0.3097747628244362
105,0.7210984917745762,0.46511439767775636,0.3093162940859947
106,0.7179140808780619,0.4651116531631345,0.3088674942130377
107,0.7147828680201483,0.46510915626900995,0.30842806685310376
108,0.7117044051861317,0.4651068846383576,0.30799772744444864
109,0.7086782056966473,0.46510481793508945,0.30757620264296043
110,0.7057037475731253,0.46510293766101757,0.30716322978184235
111,0.7027804767619243,0.4651012269894449,0.30675855636191607
112,0.6999078102164867,0.46509967061387364,0.30636193957055413
113,0.6970851388374728,0.4650982546104416,0.30597314582739854
114,0.6943118302715072,0.465096966312845,0.30559195035515635
115,0.6915872315696933,0.46509579419859864,0.3052181367738816
116,0.6889106717076167,0.46509472778561195,0.3048514967172724
117,0.6862814639689857,0.4650937575381335,0.3044918294696107
118,0.6836989081954982,0.46509287478121825,0.3041389416220713
119,0.6811622929058836,0.46509207162293814,0.30379264674721596
120,0.6786708972874009,0.46509134088363524,0.3034527650905651
121,0.6762239930633165,0.46509067603157855,0.30311912327822305
122,0.6738208462401615,0.46509007112444134,0.3027915540395939
123,0.6714607187387182,0.4650895207560714,0.3024698959442972
124,0.6691428699128595,0.46508902000807717,0.3021539931524458
125,0.666866557960465,0.46508856440578833,0.30184369517751064
126,0.6646310412307411,0.4650881498781993,0.3015388566610389
127,0.6624355794322837,0.46508777272153107,0.30123933715855045
128,0.660279434746298,0.46508742956608723,0.300945000935971
129,0.6581618728493371,0.4650871173461042,0.30065571677601044
130,0.6560821638499275,0.4650868332723215,0.30037135779392576
131,0.6540395831433985,0.46508657480703525,0.3000918012621466
132,0.6520334121891542,0.4650863396413998,0.29981692844327457
133,0.6500629392145761,0.46508612567477986,0.29954662443099583
134,0.64812745984962,0.4650859309959671,0.29928077799847697
135,0.6462262776960989,0.4650857538660937,0.2990192814538391
136,0.6443587048355046,0.4650855927030852,0.29876203050233113
137,0.6425240622791198,0.4650854460675188,0.2985089241148442
138,0.6407216803640285,0.46508531264975717,0.2982598644024335
139,0.6389508990985223,0.46508519125824316,0.2980147564965312
140,0.6372110684602326,0.465085080808851,0.29777350843455197
141,0.6355015486502272,0.46508498031519735,0.2975360310506165
142,0.6338217103061172,0.4650848888798275,0.2973022378711249
143,0.6321709346771288,0.4650848056861971,0.2970720450149357
144,0.6305486137639306,0.4650847299913747,0.29684537109791537
145,0.6289541504258683,0.4650846611194054,0.2966221371416386
146,0.6273869584581444,0.46508459845527156,0.2964022664860324
147,0.6258464626413213,0.46508454143939826,0.29618568470576695
148,0.6243320987654208,0.4650844895626547,0.2959723195302092
149,0.6228433136307447,0.4650844423618067,0.2957621007667646
150,0.6213795650274422,0.4650843994153772,0.2955549602274411
151,0.6199403216957026,0.46508436033988365,0.2953508316584804
152,0.6185250632683721,0.46508432478641165,0.2951496506729092
153,0.6171332801976416,0.46508429243749805,0.2949513546858701
154,0.6157644736673911,0.46508426300429667,0.29475588285260096
155,0.6144181554926362,0.4650842362239981,0.29456317600893833
156,0.6130938480074468,0.46508421185748205,0.2943731766142247
