rho,d6,d8,d9,d12,d6m,d12m,dm
0.001,0.25014514250938913,0.1250691404584627,0.11117243613586598,0.07146821947815342,0.2501027286062776,0.07147856745009619,0.16079064802818688
0.002,0.25029049164034534,0.1251383787447941,0.11123384813901908,0.0715079247867198,0.25020557956617034,0.07152864050128906,0.16086711003372975
0.003,0.2504360478781519,0.12520771509013734,0.11129534732681132,0.07154768749287602,0.25030855314188233,0.07157879077186967,0.160943671956876
0.004,0.25058181170969906,0.12527714972640905,0.11135693390617678,0.07158750773570326,0.25041164959644574,0.07162901845220852,0.16102033402432714
0.005,0.25072778362349074,0.12534668288630305,0.11141860808474555,0.07162738565476057,0.25051486919372434,0.07167932373332993,0.16109709646352713
0.006,0.250873964109651,0.12541631480329346,0.11148037007084699,0.07166732139008697,0.25061821219841734,0.0717297068069149,0.1611739595026661
0.007,0.25102035365993164,0.12548604571163832,0.11154222007351246,0.07170731508220365,0.2507216788760621,0.07178016786530401,0.16125092337068309
0.008,0.25116695276771867,0.1255558758463829,0.11160415830247873,0.07174736687211604,0.2508252694930387,0.07183070710150039,0.16132798829726955
0.009000000000000001,0.2513137619280398,0.12562580544336305,0.11166618496819096,0.07178747690131601,0.2509289843165725,0.07188132470917258,0.16140515451287255
0.010000000000000002,0.25146078163757124,0.12569583473920898,0.11172830028180566,0.07182764531178416,0.25103282361473844,0.07193202088265761,0.16148242224869805
0.011,0.2516080123946449,0.12576596397134832,0.11179050445519409,0.07186787224599184,0.251136787656464,0.07198279581696392,0.16155979173671403
0.012,0.25175545469925553,0.12583619337800991,0.11185279770094511,0.0719081578469035,0.25124087671153356,0.07203364970777429,0.1616372632096539
0.013000000000000001,0.251903109053068,0.1259065231982272,0.11191518023236857,0.0719485022579788,0.2513450910505911,0.0720845827514489,0.16171483690101998
0.014000000000000002,0.2520509759594245,0.12597695367184186,0.11197765226349844,0.07198890562317492,0.2514494309451447,0.07213559514502844,0.1617925130450866
0.015,0.2521990559233515,0.1260474850395072,0.11204021400909593,0.07202936808694871,0.25155389666756967,0.072186687086237,0.16187029187690333
0.016,0.2523473494515677,0.12611811754269184,0.11210286568465275,0.0720698897942591,0.25165848849111244,0.07223785877348522,0.16194817363229883
0.017,0.25249585705249095,0.12618885142368333,0.11216560750639432,0.0721104708905692,0.25176320668989427,0.07228911040587334,0.1620261585478838
0.018000000000000002,0.2526445792362455,0.12625968692559164,0.11222843969128309,0.07215111152184868,0.25186805153891484,0.07234044218319427,0.1621042468610546
0.019000000000000003,0.2527935165146698,0.12633062429235287,0.11229136245702168,0.07219181183457603,0.2519730233140561,0.07239185430593682,0.16218243880999644
0.02,0.252942669401324,0.12640166376873294,0.11235437602205639,0.07223257197574086,0.2520781222920859,0.07244334697528858,0.1622607346336873
0.021,0.25309203841149686,0.12647280560033117,0.1124174806055801,0.07227339209284626,0.2521833487506622,0.07249492039313933,0.16233913457190075
0.022000000000000002,0.253241624062214,0.12654405003358396,0.11248067642753604,0.07231427233391106,0.2522887029683359,0.07254657476208408,0.16241763886521
0.023,0.2533914268722452,0.12661539731576865,0.11254396370862088,0.07235521284747227,0.252394185224556,0.0725983102854262,0.16249624775499108
0.024,0.253541447362112,0.12668684769500707,0.11260734267028809,0.07239621378258729,0.25249979579967236,0.07265012716718068,0.16257496148342648
0.025,0.25369168605409526,0.12675840142026948,0.1126708135347514,0.07243727528883649,0.2526055349749399,0.07270202561207739,0.16265378029350866
0.026000000000000002,0.2538421434722432,0.12683005874137804,0.11273437652498812,0.07247839751632541,0.25271140303252265,0.0727540058255642,0.16273270442904342
0.027000000000000003,0.25399282014237906,0.1269018199090109,0.11279803186474262,0.07251958061568721,0.2528174002554977,0.07280606801381027,0.16281173413465397
0.028,0.2541437165921085,0.12697368517470597,0.1128617797785297,0.07256082473808517,0.25292352692785836,0.07285821238370939,0.16289086965578387
0.029,0.25429483335082814,0.12704565479086455,0.11292562049163805,0.07260213003521494,0.2530297833345194,0.07291043914288317,0.1629701112387013
0.030000000000000002,0.25444617094973265,0.12711772901075544,0.11298955423013379,0.07264349665930715,0.25313616976131986,0.07296274849968439,0.16304945913050212
0.031,0.25459772992182345,0.1271899080885186,0.11305358122086388,0.07268492476312982,0.25324268649502757,0.07301514066320032,0.163128913579114
0.032,0.25474951080191627,0.12726219227916927,0.1131177016914596,0.07272641449999069,0.2533493338233432,0.07306761584325604,0.16320847483329964
0.033,0.2549015141266489,0.12733458183860152,0.11318191587034018,0.07276796602373994,0.25345611203490404,0.07312017425041782,0.1632881431426609
0.034,0.2550537404344898,0.12740707702359272,0.11324622398671627,0.07280957948877244,0.253563021419288,0.07317281609599649,0.16336791875764226
0.035,0.255206190265746,0.12747967809180713,0.11331062627059356,0.07285125505003044,0.25367006226701827,0.07322554159205084,0.1634478019295346
0.036000000000000004,0.255358864162571,0.12755238530179983,0.11337512295277627,0.07289299286300598,0.2537772348695667,0.07327835095139104,0.16352779291047892
0.037000000000000005,0.2555117626689733,0.12762519891302096,0.11343971426487096,0.0729347930837435,0.2538845395193584,0.07333124438758214,0.16360789195347025
0.038,0.2556648863308244,0.1276981191858197,0.11350440043928982,0.0729766558688423,0.2539919765097755,0.07338422211494729,0.1636880993123614
0.039,0.25581823569586726,0.1277711463814482,0.11356918170925466,0.07301858137545932,0.25409954613516167,0.07343728434857154,0.16376841524186664
0.04,0.2559718113137244,0.1278442807620658,0.11363405830880043,0.07306056976131137,0.25420724869082617,0.07349043130430509,0.16384883999756564
0.041,0.2561256137359064,0.12791752259074296,0.11369903047277878,0.07310262118467803,0.25431508447304785,0.07354366319876694,0.1639293738359073
0.042,0.25627964351582044,0.12799087213146562,0.11376409843686203,0.07314473580440412,0.2544230537790797,0.07359698024934833,0.16401001701421405
0.043000000000000003,0.25643390120877846,0.12806432964913894,0.11382926243754674,0.07318691377990241,0.254531156907153,0.07365038267421635,0.16409076979068468
0.044000000000000004,0.2565883873720059,0.128137895409592,0.11389452271215741,0.07322915527115614,0.2546393941564817,0.07370387069231751,0.16417163242439958
0.045,0.2567431025646502,0.1282115696795815,0.11395987949885045,0.07327146043872175,0.2547477658272661,0.07375744452338132,0.16425260517532372
0.046,0.25689804734778965,0.12828535272679625,0.11402533303661767,0.07331382944373158,0.25485627222069823,0.07381110438792388,0.164333688304311
