p,r6l,r12l,r6m,r12m,r6h,r12h
0.001,0.1807004030286654,0.09410970575856932,0.37489314402922025,0.26690334486883904,1.3296749131139278,1.2146549094193628
0.002,0.18070776091136642,0.09411326624877434,0.37497758906485373,0.266958965217773,1.3298136307683677,1.2147559887486805
0.003,0.180715119530533,0.09411682709178103,0.3750620901802292,0.26701462362981365,1.3299524747982132,1.2148571650166944
0.004,0.18072247888628293,0.09412038828764556,0.3751466474332713,0.2670703201448476,1.3300914453817951,1.2149584383644065
0.005,0.1807298389787339,0.09412394983642391,0.37523126088198516,0.26712605480281665,1.330230542697674,1.2150598089330364
0.006,0.18073719980800373,0.09412751173817217,0.3753159305844587,0.26718182764372106,1.3303697669248198,1.2151612768640914
0.007,0.1807445613742102,0.09413107399294647,0.3754006565988615,0.2672376387076169,1.330509118242579,1.2152628422994316
0.008,0.18075192367747117,0.09413463660080285,0.3754854389834448,0.26729348803461705,1.33064859683054,1.2153645053810957
0.009000000000000001,0.18075928671790445,0.09413819956179746,0.37557027779654245,0.26734937566489203,1.3307882028687161,1.2154662662514382
0.010000000000000002,0.18076665049562815,0.09414176287598643,0.37565517309657126,0.2674053016386699,1.3309279365374524,1.2155681250531305
0.011,0.18077401501075988,0.09414532654342585,0.3757401249420292,0.2674612659962348,1.3310677980174181,1.2156700819290658
0.012,0.18078138026341783,0.09414889056417192,0.37582513339149776,0.2675172687779292,1.331207787489621,1.2157721370224217
0.013000000000000001,0.1807887462537199,0.0941524549382808,0.3759101985036417,0.2675733100241531,1.3313479051354804,1.2158742904767172
0.014000000000000002,0.18079611298178402,0.09415601966580862,0.37599532033720756,0.2676293897753633,1.3314881511366992,1.2159765424356792
0.015,0.1808034804477283,0.0941595847468116,0.37608049895102563,0.26768550807207525,1.3316285256753282,1.2160788930433561
0.016,0.1808108486516707,0.094163150181346,0.3761657344040099,0.2677416649548614,1.3317690289338495,1.216181342444087
0.017,0.18081821759372943,0.09416671596946788,0.3762510267551568,0.26779786046435267,1.3319096610949817,1.2162838907824587
0.018000000000000002,0.18082558727402245,0.0941702821112336,0.37633637606354714,0.26785409464123777,1.3320504223418757,1.2163865382033774
0.019000000000000003,0.18083295769266802,0.09417384860669933,0.376421782388345,0.26791036752626324,1.3321913128580238,1.2164892848520175
0.02,0.18084032884978418,0.09417741545592133,0.3765072457887986,0.26796667916023453,1.3323323328272374,1.2165921308738272
0.021,0.1808477007454892,0.09418098265895591,0.3765927663242398,0.2680230295840149,1.3324734824337292,1.216695076414579
0.022000000000000002,0.18085507337990117,0.09418455021585924,0.37667834405408523,0.268079418838526,1.3326147618620214,1.2167981216202852
0.023,0.18086244675313853,0.09418811812668772,0.37676397903783515,0.2681358469647484,1.3327561712970264,1.2169012666372887
0.024,0.18086982086531936,0.09419168639149758,0.37684967133507485,0.26819231400372107,1.3328977109240145,1.2170045116121884
0.025,0.1808771957165619,0.0941952550103451,0.3769354210054739,0.2682488199965416,1.3330393809285792,1.2171078566919054
0.026000000000000002,0.18088457130698465,0.09419882398328669,0.3770212281087869,0.2683053649843671,1.3331811814967203,1.2172113020236075
0.027000000000000003,0.18089194763670582,0.09420239331037862,0.37710709270485304,0.2683619490084127,1.3333231128147496,1.2173148477547933
0.028,0.1808993247058438,0.09420596299167729,0.3771930148535969,0.2684185721099529,1.333465175069375,1.2174184940332269
0.029,0.18090670251451696,0.094209533027239,0.377278994615028,0.2684752343303217,1.3336073684476553,1.217522241006976
0.030000000000000002,0.18091408106284376,0.09421310341712019,0.3773650320492419,0.2685319357109127,1.333749693137021,1.2176260888244212
0.031,0.18092146035094267,0.09421667416137719,0.3774511272164188,0.2685886762931779,1.3338921493252458,1.2177300376341942
0.032,0.18092884037893212,0.09422024526006641,0.37753728017682503,0.26864545611862917,1.3340347372004568,1.2178340875852258
0.033,0.18093622114693053,0.09422381671324428,0.37762349099081344,0.26870227522883894,1.334177456951224,1.2179382388268059
0.034,0.18094360265505652,0.09422738852096718,0.3777097597188215,0.26875913366543763,1.3343203087663686,1.2180424915084231
0.035,0.18095098490342862,0.0942309606832916,0.37779608642137386,0.26881603147011696,1.3344632928351507,1.2181468457799258
0.036000000000000004,0.18095836789216532,0.09423453320027399,0.3778824711590814,0.26887296868462796,1.3346064093472307,1.2182513017914742
0.037000000000000005,0.18096575162138534,0.09423810607197071,0.377968913992641,0.2689299453507815,1.3347496584925336,1.2183558596934592
0.038,0.18097313609120724,0.09424167929843832,0.3780554149828366,0.2689869615104493,1.3348930404614365,1.218460519636623
0.039,0.1809805213017497,0.09424525287973333,0.37814197419053913,0.269044017205563,1.3350365554446744,1.2185652817720134
0.04,0.18098790725313138,0.09424882681591215,0.3782285916767056,0.2691011124781141,1.3351802036333218,1.2186701462509375
0.041,0.180995293945471,0.09425240110703134,0.378315267502381,0.26915824737015515,1.335323985218856,1.2187751132250106
